fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Sep 1 2016,8674,BBVACOL,2185848,251,0.00
Sep 11 2016,2181,BBVACOL,567060,261,0.00
Sep 12 2016,19952,BBVACOL,5267328,261,0.00
Sep 13 2016,5945,BBVACOL,1549664,261,0.00
Sep 14 2016,23772,BBVACOL,6232595,261,0.00
Sep 17 2016,4462,BBVACOL,1146734,251,0.00
Sep 18 2016,627,BBVACOL,163020,251,0.00
Sep 19 2016,27326,BBVACOL,7132086,251,0.00
Sep 24 2016,17546,BBVACOL,4561960,251,0.00
Sep 3 2016,102932,BBVACOL,26865252,261,3.98
Sep 6 2016,3391,BBVACOL,881660,261,0.00
Sep 7 2016,9909,BBVACOL,2576340,261,0.00
Ago 1 2016,4480,BBVACOL,1227520,263,0.00
Ago 11 2016,2509,BBVACOL,652340,260,0.00
Ago 12 2016,41103,BBVACOL,10686780,260,0.00
Ago 17 2016,43000,BBVACOL,11610000,270,3.85
Ago 2 2016,11517,BBVACOL,2994420,263,0.00
Ago 21 2016,55793,BBVACOL,14561973,261,-3.33
Ago 24 2016,22466,BBVACOL,5776375,261,0.00
Ago 25 2016,13504,BBVACOL,3443520,261,0.00
Ago 28 2016,59372,BBVACOL,14923695,251,-3.83
Ago 29 2016,4780,BBVACOL,1199780,251,0.00
Ago 30 2016,25717,BBVACOL,6454967,251,0.00
Ago 8 2016,18000,BBVACOL,4860000,263,0.00
Ago 9 2016,100757,BBVACOL,26220976,260,-1.14
JUL 13 2016,8915,BBVACOL,2407050,270,0.00
JUL 17 2016,1342,BBVACOL,362340,270,0.00
JUL 18 2016,95513,BBVACOL,25788510,270,-3.57
JUL 20 2016,40532,BBVACOL,11348960,280,3.70
JUL 21 2016,5447,BBVACOL,1470690,270,0.00
JUL 24 2016,9527,BBVACOL,2572290,270,0.00
JUL 25 2016,40261,BBVACOL,10708658,263,-2.59
JUL 6 2016,101895,BBVACOL,27511650,270,-0.74
JUL 7 2016,500000,BBVACOL,135000000,270,0.00
JUL 9 2016,12232,BBVACOL,3302640,270,0.00
Jun 11 2016,4873,BBVACOL,1320583,280,0.00
Jun 12 2016,9746,BBVACOL,2631420,280,0.00
Jun 15 2016,4800,BBVACOL,1368000,280,0.00
Jun 16 2016,5281,BBVACOL,1436432,280,0.00
Jun 17 2016,41807,BBVACOL,11819995,280,0.00
Jun 21 2016,457,BBVACOL,124304,280,0.00
Jun 23 2016,117742,BBVACOL,31905882,270,-3.57
Jun 24 2016,6005819,BBVACOL,1633582768,272,0.74
Jun 25 2016,10869,BBVACOL,2934630,272,0.00
Jun 29 2016,7706,BBVACOL,2080620,272,0.00
Jun 31 2016,7706,BBVACOL,2080620,272,0.00
Jun 4 2016,4873,BBVACOL,1340075,280,0.00
Jun 9 2016,13291,BBVACOL,3618570,280,0.00
Oct 10 2016,4334,BBVACOL,1126840,265,0.00
Oct 12 2016,5602,BBVACOL,1456520,265,0.00
Oct 14 2016,216,BBVACOL,57240,265,0.00
Oct 23 2016,13511,BBVACOL,3512860,265,0.00
Oct 28 2016,2787,BBVACOL,738555,265,0.00
Oct 4 2016,84759,BBVACOL,22304015,265,1.92
Oct 6 2016,10410,BBVACOL,2717010,265,0.00
Sep 1 2016,198725,BCOLOMBIA,5332677640,26900,0.37
Sep 10 2016,756395,BCOLOMBIA,20745792460,27500,2.23
Sep 11 2016,104870,BCOLOMBIA,2656574140,25400,-0.39
Sep 12 2016,201308,BCOLOMBIA,5061509120,25100,-1.18
Sep 13 2016,398605,BCOLOMBIA,10424859780,26100,1.56
Sep 14 2016,374950,BCOLOMBIA,9641477100,25960,3.43
Sep 17 2016,22882,BCOLOMBIA,625912820,27440,-0.22
Sep 18 2016,632999,BCOLOMBIA,17296083460,27320,-0.44
Sep 19 2016,334046,BCOLOMBIA,9187460660,27660,1.24
Sep 2 2016,633052,BCOLOMBIA,16129071740,25600,1.19
Sep 20 2016,2873478,BCOLOMBIA,78589161420,27400,-0.94
Sep 21 2016,339663,BCOLOMBIA,9194720620,27180,-0.37
Sep 24 2016,290999,BCOLOMBIA,7774037360,26680,-1.84
Sep 25 2016,163316,BCOLOMBIA,4356822160,26600,-0.30
Sep 26 2016,391156,BCOLOMBIA,10430600800,26820,0.83
Sep 27 2016,277808,BCOLOMBIA,7309842960,25980,-3.13
Sep 3 2016,5720034,BCOLOMBIA,143264556120,25260,-2.77
Sep 30 2016,260499,BCOLOMBIA,7100941220,27280,-0.44
Sep 4 2016,398319,BCOLOMBIA,10073234840,25300,0.16
Sep 5 2016,103110,BCOLOMBIA,2671648180,25980,0.00
Sep 6 2016,283963,BCOLOMBIA,7299681640,25500,-0.39
Sep 7 2016,348226,BCOLOMBIA,8970533920,25700,-1.00
Ago 1 2016,74385,BCOLOMBIA,1801076240,24200,-0.41
Ago 10 2016,484836,BCOLOMBIA,12106914860,25060,0.40
Ago 11 2016,110602,BCOLOMBIA,2775007620,25220,0.64
Ago 12 2016,53297,BCOLOMBIA,1332068520,25100,-0.48
Ago 16 2016,226186,BCOLOMBIA,5737738620,25480,1.51
Ago 17 2016,201611,BCOLOMBIA,5103515780,25320,-0.63
Ago 18 2016,138306,BCOLOMBIA,3474095280,25180,-0.55
Ago 19 2016,470691,BCOLOMBIA,12007364560,25640,1.83
Ago 2 2016,17723,BCOLOMBIA,428594640,24200,0.00
Ago 21 2016,231258,BCOLOMBIA,5940560260,25800,0.62
Ago 23 2016,461392,BCOLOMBIA,11923720100,25960,0.62
Ago 24 2016,104015,BCOLOMBIA,2713542240,26200,0.92
Ago 25 2016,332063,BCOLOMBIA,8702394920,26200,0.00
Ago 28 2016,271876,BCOLOMBIA,7156018620,26400,0.76
Ago 29 2016,163662,BCOLOMBIA,4328554780,26560,0.45
Ago 3 2016,234483,BCOLOMBIA,5714267780,24380,0.74
Ago 30 2016,182300,BCOLOMBIA,4811268500,26440,0.15
Ago 31 2016,385678,BCOLOMBIA,10319738780,26800,0.90
Ago 4 2016,137056,BCOLOMBIA,3345697560,24380,0.00
Ago 7 2016,217194,BCOLOMBIA,5305237160,24500,0.49
Ago 8 2016,643825,BCOLOMBIA,15772688960,24440,-0.24
Ago 9 2016,212121,BCOLOMBIA,5238418780,24960,2.13
JUL 1 2016,52635,BCOLOMBIA,1261100280,24000,0.84
JUL 11 2016,52667,BCOLOMBIA,1261559160,24000,2.04
JUL 12 2016,34043,BCOLOMBIA,815354640,24000,0.00
JUL 13 2016,27854,BCOLOMBIA,655580160,23520,0.09
JUL 15 2016,71425,BCOLOMBIA,1717516700,24100,0.42
JUL 17 2016,127987,BCOLOMBIA,3090833800,24200,0.41
JUL 18 2016,69467,BCOLOMBIA,1669559700,24000,-0.25
JUL 20 2016,69926,BCOLOMBIA,1675256460,24060,-0.58
JUL 21 2016,87913,BCOLOMBIA,2124128040,24120,0.50
JUL 24 2016,111215,BCOLOMBIA,2680252640,24200,0.33
JUL 25 2016,71225,BCOLOMBIA,1716478200,24100,0.58
JUL 26 2016,51042,BCOLOMBIA,1230096740,24140,0.17
JUL 28 2016,51379,BCOLOMBIA,1228841440,23820,-1.57
JUL 29 2016,93597,BCOLOMBIA,2249247140,23960,0.59
JUL 31 2016,489710,BCOLOMBIA,11885020300,24300,0.66
JUL 5 2016,35098,BCOLOMBIA,828234180,23600,-1.67
JUL 6 2016,20023,BCOLOMBIA,474412160,23800,0.85
JUL 7 2016,16378,BCOLOMBIA,385883360,23500,-1.26
JUL 9 2016,59720,BCOLOMBIA,1402937120,23500,0.00
Jun 1 2016,92621,BCOLOMBIA,2161127640,23620,-0.34
Jun 10 2016,154885,BCOLOMBIA,3707187740,24040,2.47
