fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
Dec 2 2016,579588,GRUPOSURA,21036080520,36300,1.11
Dec 2 2016,314989,PFGRUPSURA,11173487240,35460,1.03
Dec 2 2016,5608226,ECOPETROL,7436752150,1320,-0.38
Dec 2 2016,239072,PFDAVVNDA,6935534140,29060,0.35
Dec 2 2016,225619,PFBCOLOM,5995337320,26600,1.06
Dec 2 2016,462387,ISA,4664628000,10100,1.00
Dec 2 2016,312695,EXITO,4508577120,14540,1.82
Dec 2 2016,174641,NUTRESA,4059292880,23320,1.30
Dec 2 2016,2719384,PFAVAL,3219727935,1190,1.28
Dec 2 2016,241577,CEMARGOS,2712319680,11220,0.72
Dec 2 2016,767065,PFAVH,2071729290,2705,0.93
Dec 2 2016,195166,PFCEMARGOS,2030005720,10440,0.38
Dec 2 2016,54939,CORFICOLCF,1946146180,35560,0.91
Dec 2 2016,53420,BCOLOMBIA,1331928840,24980,0.40
Dec 2 2016,55353,GRUPOARGOS,1017929640,18340,0.22
Dec 2 2016,53450,CNEC,558285000,10520,0.57
Dec 2 2016,47036,CLH,532332100,11300,-0.18
Dec 2 2016,134748,CELSIA,531889955,3970,1.15
Dec 2 2016,7609,BOGOTA,458579420,61980,0.58
Dec 2 2016,19842,PFGRUPOARG,350446900,17560,0.46
Dec 2 2016,566581,ETB,341720838,598,-0.17
Dec 2 2016,59853,PFCARPAK,288893870,4810,-0.52
Dec 2 2016,108849,COLTEJER,217689960,2000,21.21
Dec 2 2016,3720,GRUBOLIVAR,189720000,51000,-1.54
Dec 2 2016,71237,CONCONCRET,71546000,1010,0.50
Dec 2 2016,3000000,BVC,60300000,20,0.00
Dec 2 2016,5000,CARTON,26000000,5200,0.00
Dec 2 2016,15617,GRUPOAVAL,18146110,1160,-0.43
Dec 2 2016,6312,MINEROS,12609960,2000,0.00
Dec 2 2016,800,ICOLRISK,10448000,13060,0.08
Dec 2 2016,600000,ENKA,6960000,12,-4.92
