fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
JUL 1 2016,"1,167,887.00",EXITO     ,"16,518,432,780.00","14,300.00",.70
JUL 1 2016,"7,047,493.00",ECOPETROL ,"9,870,627,920.00","1,405.00",.72
JUL 1 2016,"274,480.00",PFDAVVNDA ,"7,359,844,940.00","26,840.00",-.15
JUL 1 2016,"201,176.00",PFBCOLOM  ,"5,161,859,860.00","25,700.00",.86
JUL 1 2016,"235,873,661.00",BVC       ,"4,245,771,698.00",18.20,1.11
JUL 1 2016,"207,916.00",CLH       ,"2,628,280,720.00","12,580.00",-.16
JUL 1 2016,"151,682.00",CEMARGOS  ,"1,810,838,260.00","11,860.00",-.50
JUL 1 2016,"1,232,904.00",PFAVAL    ,"1,448,957,860.00","1,180.00",.00
JUL 1 2016,"52,635.00",BCOLOMBIA ,"1,261,100,280.00","24,000.00",.84
JUL 1 2016,"27,304.00",GRUPOSURA ,"1,039,667,300.00","37,940.00",-.94
JUL 1 2016,"35,714.00",NUTRESA   ,"896,126,540.00","25,100.00",.00
JUL 1 2016,"93,607.00",ISA       ,"833,398,410.00","8,920.00",-.22
JUL 1 2016,"64,125.00",PFCEMARGOS,"708,999,740.00","10,940.00",-.55
JUL 1 2016,"15,475.00",OCCIDENTE ,"564,837,500.00","36,500.00",.00
JUL 1 2016,"5,415.00",BOGOTA    ,"315,706,020.00","58,200.00",-.51
JUL 1 2016,"7,446.00",CORFICOLCF,"283,632,820.00","37,780.00",-1.00
JUL 1 2016,"13,881.00",GRUPOARGOS,"257,455,140.00","18,500.00",.00
JUL 1 2016,"97,566.00",PFAVH     ,"218,877,265.00","2,235.00",-.22
JUL 1 2016,"3,553.00",PFGRUPSURA,"132,363,480.00","37,140.00",-1.17
JUL 1 2016,"222,760.00",ETB       ,"129,851,440.00",587.00,.00
JUL 1 2016,"50,000.00",MINEROS   ,"125,000,000.00","2,500.00",2.46
JUL 1 2016,"30,357.00",PFCARPAK  ,"86,385,430.00","2,850.00",1.79
JUL 1 2016,"6,457.00",CNEC      ,"63,189,300.00","9,900.00",1.02
JUL 1 2016,"46,736.00",GRUPOAVAL ,"54,681,120.00","1,170.00",.86
JUL 1 2016,"29,502.00",EEB       ,"52,956,090.00","1,795.00",.56
JUL 1 2016,"12,096.00",CELSIA    ,"46,587,810.00","3,860.00",.26
JUL 1 2016,600.00,GRUBOLIVAR,"32,440,000.00","54,300.00",.00
JUL 1 2016,"25,977.00",CONCONCRET,"28,964,355.00","1,115.00",-.89
JUL 1 2016,"1,948,956.00",FABRICATO ,"28,722,785.00",14.70,-2.00
JUL 1 2016,"1,558.00",PFGRUPOARG,"27,853,620.00","17,640.00",-1.01
JUL 1 2016,"4,830.00",CARTON    ,"24,622,800.00","5,000.00",-8.76
JUL 1 2016,600.00,TITAN     ,"20,700,000.00","34,500.00",.00
JUL 1 2016,"2,000.00",ODINSA    ,"17,400,000.00","8,800.00",-2.22
JUL 1 2016,"7,030.00",ELCONDOR  ,"7,733,000.00","1,100.00",.92
JUL 1 2016,214.00,COLTEJER  ,"342,400.00","1,600.00",.00
JUL 11 2016,"1,536,276.00",EXITO     ,"21,489,401,920.00","14,000.00",.29
JUL 11 2016,"10,967,489.00",EEB       ,"19,738,804,320.00","1,800.00",.00
JUL 11 2016,"1,354,285.00",CLH       ,"16,339,698,460.00","12,200.00",2.69
JUL 11 2016,"575,569.00",PFBCOLOM  ,"14,802,395,260.00","25,780.00",.94
JUL 11 2016,"7,717,455.00",ECOPETROL ,"10,700,790,595.00","1,390.00",1.46
JUL 11 2016,"2,855,648.00",PFAVH     ,"6,815,410,940.00","2,345.00",2.85
JUL 11 2016,"158,051.00",GRUPOSURA ,"6,083,927,000.00","38,740.00",1.41
JUL 11 2016,"313,527.00",GRUPOARGOS,"5,890,162,580.00","18,800.00",.32
