fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
Jun 1 2016,"191,639,698.00",SUEEB     ,"347,826,051,870.00","1,815.00",.00
Jun 1 2016,"1,270,168.00",PFBCOLOM  ,"31,873,292,380.00","25,360.00",.32
Jun 1 2016,"1,126,453.00",EXITO     ,"17,176,572,980.00","15,200.00",.00
Jun 1 2016,"8,610,179.00",ECOPETROL ,"11,529,030,780.00","1,360.00",1.49
Jun 1 2016,"301,279.00",PFGRUPSURA,"11,002,845,740.00","36,640.00",.83
Jun 1 2016,"281,752.00",GRUPOSURA ,"10,450,456,340.00","37,380.00",.48
Jun 1 2016,"306,090.00",NUTRESA   ,"7,856,430,860.00","25,840.00",1.33
Jun 1 2016,"259,640.00",PFDAVVNDA ,"6,783,891,900.00","26,300.00",.38
Jun 1 2016,"4,205,981.00",PFAVAL    ,"4,825,943,835.00","1,155.00",1.76
Jun 1 2016,"261,692.00",GRUPOARGOS,"4,620,129,900.00","17,820.00",3.13
Jun 1 2016,"330,615.00",ICOLCAP   ,"4,308,645,750.00","13,050.00",.03
Jun 1 2016,"272,343.00",PFCEMARGOS,"2,917,160,140.00","10,820.00",.93
Jun 1 2016,"307,648.00",CNEC      ,"2,796,748,020.00","9,150.00",2.35
Jun 1 2016,"196,070.00",CEMARGOS  ,"2,268,973,760.00","11,760.00",1.03
Jun 1 2016,"255,824.00",ISA       ,"2,255,161,210.00","8,860.00",.68
Jun 1 2016,"92,621.00",BCOLOMBIA ,"2,161,127,640.00","23,620.00",-.34
Jun 1 2016,"131,705.00",CLH       ,"1,737,754,140.00","13,180.00",-2.23
Jun 1 2016,"587,311.00",PFAVH     ,"1,175,814,435.00","2,010.00",-.50
Jun 1 2016,"597,523.00",EEB       ,"1,085,483,065.00","1,825.00",-1.88
Jun 1 2016,"61,482.00",PFGRUPOARG,"1,042,671,300.00","17,000.00",2.41
Jun 1 2016,"22,554.00",CORFICOLCF,"865,030,280.00","38,580.00",-.82
Jun 1 2016,"10,683.00",BOGOTA    ,"629,397,000.00","58,500.00",-.68
Jun 1 2016,"76,280.00",ISAGEN    ,"314,408,860.00","4,130.00",-7.30
Jun 1 2016,"310,459.00",ETB       ,"186,078,523.00",600.00,1.18
Jun 1 2016,"36,411.00",PROMIGAS  ,"182,055,000.00","5,000.00",.00
Jun 1 2016,"10,220,365.00",BVC       ,"177,942,139.00",17.60,2.33
Jun 1 2016,"50,000.00",PFCARPAK  ,"151,250,000.00","3,025.00",.00
Jun 1 2016,"61,124.00",MINEROS   ,"145,611,980.00","2,380.00",2.15
Jun 1 2016,"7,000.00",TERPEL    ,"74,908,840.00","10,740.00",.00
Jun 1 2016,"15,867.00",CELSIA    ,"61,615,965.00","3,865.00",.39
Jun 1 2016,"35,714.00",GRUPOAVAL ,"40,627,685.00","1,140.00",-.87
Jun 1 2016,"22,681.00",CONCONCRET,"25,996,975.00","1,150.00",.88
Jun 1 2016,200.00,SOCBOLIVAR,"11,000,000.00","55,000.00",.00
Jun 1 2016,"1,000.00",ODINSA    ,"8,700,000.00","8,700.00",-3.33
Jun 1 2016,"3,500.00",FAMILIA   ,"3,500,000.00","1,100.00",.00
Jun 1 2016,"195,833.00",FABRICATO ,"3,141,285.60",16.20,.00
Jun 10 2016,"940,466.00",PFBCOLOM  ,"24,162,389,060.00","25,980.00",3.10
Jun 10 2016,"15,776,777.00",ECOPETROL ,"22,724,877,955.00","1,450.00",2.11
Jun 10 2016,"1,130,761.00",CLH       ,"14,311,178,400.00","12,740.00",.31
Jun 10 2016,"354,557.00",GRUPOSURA ,"13,669,455,820.00","38,900.00",2.10
Jun 10 2016,"479,769.00",EXITO     ,"7,321,632,800.00","15,280.00",1.46
Jun 10 2016,"524,204.00",CEMARGOS  ,"6,220,966,920.00","11,900.00",.17
Jun 10 2016,"151,787.00",PFGRUPSURA,"5,784,565,780.00","38,200.00",1.33
Jun 10 2016,"297,423.00",GRUPOARGOS,"5,498,236,140.00","18,700.00",3.31
Jun 10 2016,"191,535.00",NUTRESA   ,"4,921,967,320.00","25,700.00",.08
Jun 10 2016,"127,413.00",CORFICOLCF,"4,865,704,980.00","38,160.00",-1.75
