
fecha,Cantidad,Nemotecnico,Volumen,Ultimo Precio,Variacion%
Oct 10 2016,"13,890,889.00",ECOPETROL ,"18,496,058,850.00","1,325.00",-1.12
Oct 10 2016,"523,759.00",PFBCOLOM  ,"14,653,313,980.00","28,180.00",1.37
Oct 10 2016,"727,481.00",EXITO     ,"10,652,784,520.00","14,560.00",-.68
Oct 10 2016,"706,528.00",PFCEMARGOS,"7,648,367,280.00","10,900.00",.93
Oct 10 2016,"4,832,934.00",PFAVAL    ,"5,933,886,460.00","1,225.00",-.41
Oct 10 2016,"364,608.00",ICOLCAP   ,"4,998,743,116.00","13,695.00",.70
Oct 10 2016,"111,286.00",CORFICOLCF,"4,206,566,920.00","37,860.00",.05
Oct 10 2016,"139,572.00",PFDAVVNDA ,"4,115,957,540.00","29,880.00",1.43
Oct 10 2016,"104,233.00",GRUPOSURA ,"4,002,954,100.00","38,500.00",.31
Oct 10 2016,"80,526.00",PFGRUPSURA,"3,053,799,520.00","38,400.00",1.59
Oct 10 2016,"103,327.00",BCOLOMBIA ,"2,671,167,840.00","26,020.00",1.25
Oct 10 2016,"110,307.00",GRUPOARGOS,"2,128,735,180.00","19,400.00",1.15
Oct 10 2016,"215,332.00",ISA       ,"2,111,160,010.00","9,850.00",1.13
Oct 10 2016,"144,345.00",CEMARGOS  ,"1,692,053,760.00","11,800.00",1.37
Oct 10 2016,"168,733.00",CNEC      ,"1,674,238,600.00","9,870.00",.41
Oct 10 2016,"54,057.00",NUTRESA   ,"1,375,149,140.00","25,500.00",.39
Oct 10 2016,"453,150.00",PFAVH     ,"1,074,633,705.00","2,385.00",-.42
Oct 10 2016,"91,805.00",CLH       ,"1,058,311,340.00","11,520.00",-.69
Oct 10 2016,"80,000.00",HCOLSEL   ,"988,240,000.00","12,353.00",1.34
Oct 10 2016,"6,781.00",BOGOTA    ,"424,442,000.00","62,600.00",-.03
Oct 10 2016,"22,787.00",PFGRUPOARG,"415,732,080.00","18,380.00",1.10
Oct 10 2016,"133,057.00",GRUPOAVAL ,"163,164,255.00","1,215.00",-1.22
Oct 10 2016,"68,020.00",EEB       ,"124,842,325.00","1,840.00",.27
Oct 10 2016,"21,845.00",CELSIA    ,"87,513,055.00","4,010.00",.25
Oct 10 2016,"17,738.00",PFCARPAK  ,"55,068,680.00","3,180.00",2.91
Oct 10 2016,"12,523.00",ISAGEN    ,"47,862,290.00","3,820.00",.53
Oct 10 2016,"41,453.00",CONCONCRET,"45,090,770.00","1,090.00",.46
Oct 10 2016,"1,000.00",TITAN     ,"34,500,000.00","34,500.00",-2.27
Oct 10 2016,"2,400,000.00",FABRICATO ,"33,600,000.00",14.00,.00
Oct 10 2016,"7,023.00",MINEROS   ,"15,099,450.00","2,150.00",2.38
Oct 10 2016,"2,000.00",PROMIGAS  ,"10,748,500.00","5,300.00",-3.64
Oct 10 2016,"4,334.00",BBVACOL   ,"1,126,840.00",265.00,.00
Oct 10 2016,"1,486.00",ETB       ,"872,309.00",598.00,.00
