fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,BOGOTA,BANCO DE BOGOTA S.A.,59500,0.0000 ,0,0,continua,SI,1153.71,0.004755062
Jan 04 2016,BOGOTA,BANCO DE BOGOTA S.A.,59500,0.0000 ,0,0,continua,SI,1129.71,-0.020802455
Jan 05 2016,BOGOTA,BANCO DE BOGOTA S.A.,59000,-0.0084,10870000,185,continua,SI,1142.4,0.011232971
Jan 06 2016,BOGOTA,BANCO DE BOGOTA S.A.,58500,-0.0085,87960240,1500,continua,SI,1129.32,-0.01144958
Jan 07 2016,BOGOTA,BANCO DE BOGOTA S.A.,59000,0.0085 ,39174900,670,continua,SI,1105.73,-0.020888676
Jan 08 2016,BOGOTA,BANCO DE BOGOTA S.A.,57240,-0.0298,24040800,420,continua,SI,1098.32,-0.006701455
Jan 12 2016,BOGOTA,BANCO DE BOGOTA S.A.,57100,-0.0024,273885400,4796,continua,SI,1079.28,-0.017335567
Jan 13 2016,BOGOTA,BANCO DE BOGOTA S.A.,57200,0.0018 ,292419100,5113,continua,SI,1096.68,0.016121859
Jan 14 2016,BOGOTA,BANCO DE BOGOTA S.A.,58000,0.0140 ,205756400,3601,continua,SI,1128.65,0.029151621
Jan 15 2016,BOGOTA,BANCO DE BOGOTA S.A.,58900,0.0155 ,98033800,1680,continua,SI,1103.26,-0.022495902
Jan 18 2016,BOGOTA,BANCO DE BOGOTA S.A.,57160,-0.0295,60503640,1059,continua,SI,1078.69,-0.022270362
Jan 19 2016,BOGOTA,BANCO DE BOGOTA S.A.,57000,-0.0028,156040100,2733,continua,SI,1100.3,0.020033559
Jan 20 2016,BOGOTA,BANCO DE BOGOTA S.A.,56940,-0.0011,237522020,4190,continua,SI,1109.33,0.008206853
Jan 21 2016,BOGOTA,BANCO DE BOGOTA S.A.,56600,-0.0060,122704660,2158,continua,SI,1124.79,0.01393634
Jan 22 2016,BOGOTA,BANCO DE BOGOTA S.A.,56940,0.0060 ,394857440,6937,continua,SI,1151.62,0.023853342
Jan 25 2016,BOGOTA,BANCO DE BOGOTA S.A.,56920,-0.0004,349620420,6140,continua,SI,1139.32,-0.010680606
Jan 26 2016,BOGOTA,BANCO DE BOGOTA S.A.,56880,-0.0007,453275960,8025,continua,SI,1146.36,0.006179124
Jan 27 2016,BOGOTA,BANCO DE BOGOTA S.A.,56860,-0.0004,60938080,1072,continua,SI,1153.46,0.006193517
Jan 28 2016,BOGOTA,BANCO DE BOGOTA S.A.,57000,0.0025 ,1235029960,21693,continua,SI,1165.38,0.010334125
Jan 29 2016,BOGOTA,BANCO DE BOGOTA S.A.,55800,-0.0211,861876760,15399,continua,SI,1175.09,0.008332046
Feb 01 2016,BOGOTA,BANCO DE BOGOTA S.A.,56500,0.0125 ,102874580,1817,continua,SI,1180.72,0.004791122
Feb 02 2016,BOGOTA,BANCO DE BOGOTA S.A.,56100,-0.0071,80811900,1435,continua,SI,1165.77,-0.012661766
Feb 03 2016,BOGOTA,BANCO DE BOGOTA S.A.,56200,0.0018 ,59003400,1050,continua,SI,1180.66,0.012772674
Feb 04 2016,BOGOTA,BANCO DE BOGOTA S.A.,56600,0.0071 ,1229854100,21819,continua,SI,1188.73,0.00683516
Feb 05 2016,BOGOTA,BANCO DE BOGOTA S.A.,56540,-0.0011,225810680,3994,continua,SI,1195.11,0.005367072
Feb 08 2016,BOGOTA,BANCO DE BOGOTA S.A.,56580,0.0007 ,48747200,868,continua,SI,1192.98,-0.001782263
Feb 09 2016,BOGOTA,BANCO DE BOGOTA S.A.,56120,-0.0081,701454700,12407,continua,SI,1196.9,0.003285889
Feb 10 2016,BOGOTA,BANCO DE BOGOTA S.A.,56100,-0.0004,793212280,14101,continua,SI,1200.42,0.002940931
Feb 11 2016,BOGOTA,BANCO DE BOGOTA S.A.,56180,0.0014 ,468541760,8350,continua,SI,1198.51,-0.00159111
Feb 12 2016,BOGOTA,BANCO DE BOGOTA S.A.,56220,0.0007 ,225941480,4017,continua,SI,1209.03,0.008777565
Feb 15 2016,BOGOTA,BANCO DE BOGOTA S.A.,56200,-0.0004,16691400,297,continua,SI,1209.88,0.000703043
Feb 16 2016,BOGOTA,BANCO DE BOGOTA S.A.,56000,-0.0036,1659415360,29514,continua,SI,1199.98,-0.00818263
Feb 17 2016,BOGOTA,BANCO DE BOGOTA S.A.,56660,0.0118 ,1838161420,32451,continua,SI,1233.34,0.027800463
Feb 18 2016,BOGOTA,BANCO DE BOGOTA S.A.,56720,0.0011 ,3582257680,63279,continua,SI,1235.89,0.002067556
Feb 19 2016,BOGOTA,BANCO DE BOGOTA S.A.,56700,-0.0004,469773600,8284,continua,SI,1234.93,-0.000776768
Feb 22 2016,BOGOTA,BANCO DE BOGOTA S.A.,56740,0.0007 ,779890000,13748,continua,SI,1236.37,0.001166058
Feb 23 2016,BOGOTA,BANCO DE BOGOTA S.A.,56740,0.0000 ,409319240,7226,continua,SI,1229.65,-0.005435266
Feb 24 2016,BOGOTA,BANCO DE BOGOTA S.A.,56680,-0.0011,898369180,15844,continua,SI,1228.18,-0.001195462
Feb 25 2016,BOGOTA,BANCO DE BOGOTA S.A.,57200,0.0092 ,1080150340,18999,continua,SI,1240.13,0.009729844
Feb 26 2016,BOGOTA,BANCO DE BOGOTA S.A.,57500,0.0052 ,708077300,12353,continua,SI,1246.68,0.005281704
Feb 29 2016,BOGOTA,BANCO DE BOGOTA S.A.,56800,-0.0122,162958500,2858,continua,SI,1244.17,-0.002013347
Mar 01 2016,BOGOTA,BANCO DE BOGOTA S.A.,56800,0.0000 ,320521680,5583,continua,SI,1255.54,0.009138623
Mar 02 2016,BOGOTA,BANCO DE BOGOTA S.A.,57980,0.0208 ,839525960,14542,continua,SI,1276.63,0.016797553
Mar 03 2016,BOGOTA,BANCO DE BOGOTA S.A.,59000,0.0176 ,976081380,16664,continua,SI,1295.43,0.014726272
Mar 04 2016,BOGOTA,BANCO DE BOGOTA S.A.,59400,0.0068 ,1035494000,17456,continua,SI,1294.86,-0.000440008
Mar 07 2016,BOGOTA,BANCO DE BOGOTA S.A.,59400,0.0000 ,664155720,11184,continua,SI,1307.17,0.009506819
Mar 08 2016,BOGOTA,BANCO DE BOGOTA S.A.,59780,0.0064 ,271843020,4543,continua,SI,1294.63,-0.009593243
Mar 09 2016,BOGOTA,BANCO DE BOGOTA S.A.,59960,0.0030 ,357425460,5963,continua,SI,1296.27,0.001266771
Mar 10 2016,BOGOTA,BANCO DE BOGOTA S.A.,58880,-0.0180,658165080,11158,continua,SI,1299.45,0.002453193
Mar 11 2016,BOGOTA,BANCO DE BOGOTA S.A.,59020,0.0024 ,905764660,15359,continua,SI,1302.71,0.002508754
Mar 14 2016,BOGOTA,BANCO DE BOGOTA S.A.,59860,0.0142 ,563086740,9454,continua,SI,1298.48,-0.003247077
Mar 15 2016,BOGOTA,BANCO DE BOGOTA S.A.,61000,0.0190 ,582815060,9623,continua,SI,1285.34,-0.010119524
Mar 16 2016,BOGOTA,BANCO DE BOGOTA S.A.,60000,-0.0164,737381460,12124,continua,SI,1284.4,-0.000731324
Mar 17 2016,BOGOTA,BANCO DE BOGOTA S.A.,60560,0.0093 ,2088904080,34491,continua,SI,1295.89,0.008945811
Mar 18 2016,BOGOTA,BANCO DE BOGOTA S.A.,57520,-0.0502,1663838000,28753,continua,SI,1309.81,0.010741652
Mar 22 2016,BOGOTA,BANCO DE BOGOTA S.A.,60000,0.0431 ,51148140,853,continua,SI,1316.92,0.005428268
Mar 23 2016,BOGOTA,BANCO DE BOGOTA S.A.,60000,0.0000 ,24000000,400,continua,SI,1321.05,0.003136105
Mar 28 2016,BOGOTA,BANCO DE BOGOTA S.A.,59980,-0.0003,16794400,280,continua,SI,1305.41,-0.011839067
Mar 29 2016,BOGOTA,BANCO DE BOGOTA S.A.,59860,-0.0020,616259320,10295,continua,SI,1299.65,-0.004412407
Mar 30 2016,BOGOTA,BANCO DE BOGOTA S.A.,59860,0.0000 ,228679680,3815,continua,SI,1319.77,0.015481091
Mar 31 2016,BOGOTA,BANCO DE BOGOTA S.A.,60900,0.0174 ,2593000940,42715,continua,SI,1336.27,0.012502178
Apr 01 2016,BOGOTA,BANCO DE BOGOTA S.A.,60960,0.0010 ,392331720,6439,continua,SI,1333.63,-0.001975649
Apr 04 2016,BOGOTA,BANCO DE BOGOTA S.A.,60500,-0.0075,3933688100,65097,continua,SI,1337.58,0.002961841
Apr 05 2016,BOGOTA,BANCO DE BOGOTA S.A.,60500,0.0000 ,39130400,649,continua,SI,1313.19,-0.018234423
Apr 06 2016,BOGOTA,BANCO DE BOGOTA S.A.,60500,0.0000 ,168321180,2792,continua,SI,1321.5,0.006328102
Apr 07 2016,BOGOTA,BANCO DE BOGOTA S.A.,60000,-0.0083,217755840,3594,continua,SI,1316.11,-0.004078698
Apr 08 2016,BOGOTA,BANCO DE BOGOTA S.A.,61000,0.0167 ,1232570780,20252,continua,SI,1326.57,0.007947664
Apr 11 2016,BOGOTA,BANCO DE BOGOTA S.A.,61480,0.0079 ,1006844080,16453,continua,SI,1336.37,0.007387473
Apr 12 2016,BOGOTA,BANCO DE BOGOTA S.A.,61500,0.0003 ,1061142360,17262,continua,SI,1364.13,0.02077269
Apr 13 2016,BOGOTA,BANCO DE BOGOTA S.A.,62000,0.0081 ,1011193800,15946,continua,SI,1370.62,0.004757611
Apr 14 2016,BOGOTA,BANCO DE BOGOTA S.A.,62000,0.0000 ,0,0,continua,SI,1364.97,-0.004122222
Apr 15 2016,BOGOTA,BANCO DE BOGOTA S.A.,62000,0.0000 ,569109260,9175,continua,SI,1355.2,-0.007157666
Apr 18 2016,BOGOTA,BANCO DE BOGOTA S.A.,62400,0.0065 ,835835940,13423,continua,SI,1354.76,-0.000324675
Apr 19 2016,BOGOTA,BANCO DE BOGOTA S.A.,63000,0.0096 ,802788020,12787,continua,SI,1362.84,0.005964156
Apr 20 2016,BOGOTA,BANCO DE BOGOTA S.A.,62980,-0.0003,382448800,6072,continua,SI,1376.61,0.010103901
Apr 21 2016,BOGOTA,BANCO DE BOGOTA S.A.,62980,0.0000 ,450198240,7187,continua,SI,1375.95,-0.000479439
Apr 22 2016,BOGOTA,BANCO DE BOGOTA S.A.,62980,0.0000 ,891931220,14186,continua,SI,1374.41,-0.001119227
Apr 25 2016,BOGOTA,BANCO DE BOGOTA S.A.,63000,0.0003 ,19502500,310,continua,SI,1359.25,-0.011030187
Apr 26 2016,BOGOTA,BANCO DE BOGOTA S.A.,62000,-0.0159,157046000,2533,continua,SI,1365.2,0.004377414
Apr 27 2016,BOGOTA,BANCO DE BOGOTA S.A.,62000,0.0000 ,42880000,692,continua,SI,1361.98,-0.002358629
Apr 28 2016,BOGOTA,BANCO DE BOGOTA S.A.,63000,0.0161 ,358306600,5783,continua,SI,1362.02,2.9369E-05
Apr 29 2016,BOGOTA,BANCO DE BOGOTA S.A.,62980,-0.0003,378823900,6050,continua,SI,1342.42,-0.014390391
May 02 2016,BOGOTA,BANCO DE BOGOTA S.A.,62980,0.0000 ,369822080,5896,continua,SI,1342.5,5.95939E-05
May 03 2016,BOGOTA,BANCO DE BOGOTA S.A.,62460,-0.0083,592760260,9507,continua,SI,1320.18,-0.016625698
May 04 2016,BOGOTA,BANCO DE BOGOTA S.A.,61080,-0.0221,50305680,824,continua,SI,1311.83,-0.006324895
May 05 2016,BOGOTA,BANCO DE BOGOTA S.A.,62300,0.0200 ,71483920,1166,continua,SI,1291.14,-0.015771861
May 06 2016,BOGOTA,BANCO DE BOGOTA S.A.,62000,-0.0048,395278480,6397,continua,SI,1293.03,0.001463823
May 10 2016,BOGOTA,BANCO DE BOGOTA S.A.,62180,0.0029 ,362245860,5879,continua,SI,1328.6,0.027509029
May 11 2016,BOGOTA,BANCO DE BOGOTA S.A.,63000,0.0132 ,1232570420,19589,continua,SI,1336.35,0.005833208
May 12 2016,BOGOTA,BANCO DE BOGOTA S.A.,64700,0.0270 ,4677481800,73036,continua,SI,1351.39,0.011254537
May 13 2016,BOGOTA,BANCO DE BOGOTA S.A.,64780,0.0012 ,1476322680,22949,continua,SI,1350.36,-0.000762178
May 16 2016,BOGOTA,BANCO DE BOGOTA S.A.,64800,0.0003 ,315917300,4862,continua,SI,1357.57,0.005339317
May 17 2016,BOGOTA,BANCO DE BOGOTA S.A.,62240,-0.0395,58565140,941,continua,SI,1343.88,-0.010084195
May 18 2016,BOGOTA,BANCO DE BOGOTA S.A.,61540,-0.0112,323093840,5247,continua,SI,1327.74,-0.012010001
May 19 2016,BOGOTA,BANCO DE BOGOTA S.A.,62000,0.0075 ,448225640,7242,continua,SI,1323.21,-0.003411813
May 20 2016,BOGOTA,BANCO DE BOGOTA S.A.,61980,-0.0003,470490960,7589,continua,SI,1322.44,-0.000581918
May 23 2016,BOGOTA,BANCO DE BOGOTA S.A.,61040,-0.0152,1678830360,27130,continua,SI,1325.36,0.00220804
May 24 2016,BOGOTA,BANCO DE BOGOTA S.A.,59000,-0.0334,29605790820,505465,continua,SI,1319.44,-0.004466711
May 25 2016,BOGOTA,BANCO DE BOGOTA S.A.,59000,0.0000 ,703316700,11912,continua,SI,1306.65,-0.009693506
May 26 2016,BOGOTA,BANCO DE BOGOTA S.A.,58900,-0.0017,336294020,5695,continua,SI,1302.13,-0.003459228
May 27 2016,BOGOTA,BANCO DE BOGOTA S.A.,58860,-0.0007,5114248500,86975,continua,SI,1302.36,0.000176634
May 31 2016,BOGOTA,BANCO DE BOGOTA S.A.,58900,0.0007 ,759759640,12897,continua,SI,1292.51,-0.007563193
Jun 01 2016,BOGOTA,BANCO DE BOGOTA S.A.,58500,-0.0068,629397000,10683,continua,SI,1301.18,0.006707878
Jun 02 2016,BOGOTA,BANCO DE BOGOTA S.A.,58800,0.0051 ,2708211560,46058,continua,SI,1303,0.00139873
Jun 03 2016,BOGOTA,BANCO DE BOGOTA S.A.,58800,0.0000 ,0,0,continua,SI,1307.83,0.00370683
Jun 07 2016,BOGOTA,BANCO DE BOGOTA S.A.,59100,0.0051 ,367349160,6231,continua,SI,1315.86,0.006139942
Jun 08 2016,BOGOTA,BANCO DE BOGOTA S.A.,59000,-0.0017,377946780,6408,continua,SI,1333.46,0.013375283
Jun 09 2016,BOGOTA,BANCO DE BOGOTA S.A.,59480,0.0081 ,585276900,9861,continua,SI,1333.48,1.49986E-05
Jun 10 2016,BOGOTA,BANCO DE BOGOTA S.A.,59500,0.0003 ,1614874920,27120,continua,SI,1320.48,-0.009748928
Jun 13 2016,BOGOTA,BANCO DE BOGOTA S.A.,59480,-0.0003,575957800,9680,continua,SI,1315.23,-0.003975827
Jun 14 2016,BOGOTA,BANCO DE BOGOTA S.A.,59480,0.0000 ,40783380,686,continua,SI,1303.33,-0.009047847
Jun 15 2016,BOGOTA,BANCO DE BOGOTA S.A.,59480,0.0000 ,108345400,1833,continua,SI,1303.83,0.000383633
Jun 16 2016,BOGOTA,BANCO DE BOGOTA S.A.,59460,-0.0003,294059160,4945,continua,SI,1307.77,0.003021866
Jun 17 2016,BOGOTA,BANCO DE BOGOTA S.A.,58600,-0.0145,1172072660,19882,continua,SI,1308.41,0.000489383
Jun 20 2016,BOGOTA,BANCO DE BOGOTA S.A.,59000,0.0068 ,254962760,4333,continua,SI,1316.2,0.005953791
Jun 21 2016,BOGOTA,BANCO DE BOGOTA S.A.,59480,0.0081 ,2958520600,50350,continua,SI,1323.65,0.005660234
Jun 22 2016,BOGOTA,BANCO DE BOGOTA S.A.,59400,-0.0013,1783449100,30205,continua,SI,1326.25,0.001964265
Jun 23 2016,BOGOTA,BANCO DE BOGOTA S.A.,58880,-0.0088,440581640,7473,continua,SI,1329.58,0.002510839
Jun 24 2016,BOGOTA,BANCO DE BOGOTA S.A.,58420,-0.0078,1728414780,29545,continua,SI,1317.71,-0.008927631
Jun 27 2016,BOGOTA,BANCO DE BOGOTA S.A.,58400,-0.0003,100365200,1719,continua,SI,1302.39,-0.01162623
Jun 28 2016,BOGOTA,BANCO DE BOGOTA S.A.,58600,0.0034 ,112213640,1903,continua,SI,1303.28,0.000683359
Jun 29 2016,BOGOTA,BANCO DE BOGOTA S.A.,58500,-0.0017,315412640,5386,continua,SI,1311.52,0.006322509
Jun 30 2016,BOGOTA,BANCO DE BOGOTA S.A.,58500,0.0000 ,470776340,8083,continua,SI,1313.18,0.001265707
Jul 01 2016,BOGOTA,BANCO DE BOGOTA S.A.,58200,-0.0051,315706020,5415,continua,SI,1312.98,-0.000152302
Jul 05 2016,BOGOTA,BANCO DE BOGOTA S.A.,57980,-0.0038,248189060,4279,continua,SI,1303.46,-0.007250682
Jul 06 2016,BOGOTA,BANCO DE BOGOTA S.A.,58140,0.0028 ,144154960,2480,continua,SI,1310,0.005017415
Jul 07 2016,BOGOTA,BANCO DE BOGOTA S.A.,58940,0.0138 ,2205135600,38018,continua,SI,1301.76,-0.006290076
Jul 08 2016,BOGOTA,BANCO DE BOGOTA S.A.,58940,0.0000 ,0,0,continua,SI,1297.64,-0.003164946
Jul 11 2016,BOGOTA,BANCO DE BOGOTA S.A.,58500,-0.0075,274918300,4699,continua,SI,1306.76,0.007028143
Jul 12 2016,BOGOTA,BANCO DE BOGOTA S.A.,58880,0.0065 ,224136420,3825,continua,SI,1320.3,0.010361505
Jul 13 2016,BOGOTA,BANCO DE BOGOTA S.A.,58980,0.0017 ,385393060,6570,continua,SI,1325.79,0.004158146
Jul 14 2016,BOGOTA,BANCO DE BOGOTA S.A.,58500,-0.0081,330934500,5657,continua,SI,1332.85,0.005325127
Jul 15 2016,BOGOTA,BANCO DE BOGOTA S.A.,58600,0.0017 ,437269100,7465,continua,SI,1339.6,0.005064336
Jul 18 2016,BOGOTA,BANCO DE BOGOTA S.A.,58600,0.0000 ,6134320,106,continua,SI,1339,-0.000447895
