fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,CLH,CEMEX LATAM HOLDING,10300,0.0098 ,244496720,23776,continua,SI,1153.71,0.004755062
Jan 04 2016,CLH,CEMEX LATAM HOLDING,10440,0.0136 ,1240059040,119387,continua,SI,1129.71,-0.020802455
Jan 05 2016,CLH,CEMEX LATAM HOLDING,10400,-0.0038,116022400,11156,continua,SI,1142.4,0.011232971
Jan 06 2016,CLH,CEMEX LATAM HOLDING,10400,0.0000 ,1073319600,103837,continua,SI,1129.32,-0.01144958
Jan 07 2016,CLH,CEMEX LATAM HOLDING,10100,-0.0288,2794048100,277103,continua,SI,1105.73,-0.020888676
Jan 08 2016,CLH,CEMEX LATAM HOLDING,10300,0.0198 ,7631485380,747819,continua,SI,1098.32,-0.006701455
Jan 12 2016,CLH,CEMEX LATAM HOLDING,10000,-0.0291,3177188980,316843,continua,SI,1079.28,-0.017335567
Jan 13 2016,CLH,CEMEX LATAM HOLDING,10180,0.0180 ,2153492380,211608,continua,SI,1096.68,0.016121859
Jan 14 2016,CLH,CEMEX LATAM HOLDING,10380,0.0196 ,553156620,53522,continua,SI,1128.65,0.029151621
Jan 15 2016,CLH,CEMEX LATAM HOLDING,10300,-0.0077,394153200,38462,continua,SI,1103.26,-0.022495902
Jan 18 2016,CLH,CEMEX LATAM HOLDING,10100,-0.0194,32754300,3243,continua,SI,1078.69,-0.022270362
Jan 19 2016,CLH,CEMEX LATAM HOLDING,10240,0.0139 ,1827503300,178153,continua,SI,1100.3,0.020033559
Jan 20 2016,CLH,CEMEX LATAM HOLDING,10180,-0.0059,3150076000,311156,continua,SI,1109.33,0.008206853
Jan 21 2016,CLH,CEMEX LATAM HOLDING,10060,-0.0118,2222963960,218459,continua,SI,1124.79,0.01393634
Jan 22 2016,CLH,CEMEX LATAM HOLDING,10320,0.0258 ,833162780,81392,continua,SI,1151.62,0.023853342
Jan 25 2016,CLH,CEMEX LATAM HOLDING,10100,-0.0213,959118000,94176,continua,SI,1139.32,-0.010680606
Jan 26 2016,CLH,CEMEX LATAM HOLDING,10160,0.0059 ,1036742660,101484,continua,SI,1146.36,0.006179124
Jan 27 2016,CLH,CEMEX LATAM HOLDING,10020,-0.0138,1015375740,100577,continua,SI,1153.46,0.006193517
Jan 28 2016,CLH,CEMEX LATAM HOLDING,10000,-0.0020,2157453480,215559,continua,SI,1165.38,0.010334125
Jan 29 2016,CLH,CEMEX LATAM HOLDING,9700,-0.0300,3327643560,340628,continua,SI,1175.09,0.008332046
Feb 01 2016,CLH,CEMEX LATAM HOLDING,9700,0.0000 ,372075760,38052,continua,SI,1180.72,0.004791122
Feb 02 2016,CLH,CEMEX LATAM HOLDING,9350,-0.0361,4994846060,535541,continua,SI,1165.77,-0.012661766
Feb 03 2016,CLH,CEMEX LATAM HOLDING,9360,0.0011 ,4650537480,495510,continua,SI,1180.66,0.012772674
Feb 04 2016,CLH,CEMEX LATAM HOLDING,9380,0.0021 ,5977995070,640795,continua,SI,1188.73,0.00683516
Feb 05 2016,CLH,CEMEX LATAM HOLDING,9560,0.0192 ,3649096350,385509,continua,SI,1195.11,0.005367072
Feb 08 2016,CLH,CEMEX LATAM HOLDING,9670,0.0115 ,331077880,34310,continua,SI,1192.98,-0.001782263
Feb 09 2016,CLH,CEMEX LATAM HOLDING,9810,0.0145 ,6551035140,673457,continua,SI,1196.9,0.003285889
Feb 10 2016,CLH,CEMEX LATAM HOLDING,9700,-0.0112,2903229780,295981,continua,SI,1200.42,0.002940931
Feb 11 2016,CLH,CEMEX LATAM HOLDING,9850,0.0155 ,813151300,83257,continua,SI,1198.51,-0.00159111
Feb 12 2016,CLH,CEMEX LATAM HOLDING,9830,-0.0020,1251537120,126886,continua,SI,1209.03,0.008777565
Feb 15 2016,CLH,CEMEX LATAM HOLDING,9860,0.0031 ,231413850,23515,continua,SI,1209.88,0.000703043
Feb 16 2016,CLH,CEMEX LATAM HOLDING,9990,0.0132 ,1819066930,182116,continua,SI,1199.98,-0.00818263
Feb 17 2016,CLH,CEMEX LATAM HOLDING,10000,0.0010 ,3431134040,342835,continua,SI,1233.34,0.027800463
Feb 18 2016,CLH,CEMEX LATAM HOLDING,10000,0.0000 ,4913010140,489527,continua,SI,1235.89,0.002067556
Feb 19 2016,CLH,CEMEX LATAM HOLDING,9960,-0.0040,1987321120,199282,continua,SI,1234.93,-0.000776768
Feb 22 2016,CLH,CEMEX LATAM HOLDING,10100,0.0141 ,6366384500,632720,continua,SI,1236.37,0.001166058
Feb 23 2016,CLH,CEMEX LATAM HOLDING,10020,-0.0079,2588443860,256339,continua,SI,1229.65,-0.005435266
Feb 24 2016,CLH,CEMEX LATAM HOLDING,10380,0.0359 ,5420768000,532511,continua,SI,1228.18,-0.001195462
Feb 25 2016,CLH,CEMEX LATAM HOLDING,10660,0.0270 ,4955318080,468535,continua,SI,1240.13,0.009729844
Feb 26 2016,CLH,CEMEX LATAM HOLDING,10700,0.0038 ,4442317820,404965,continua,SI,1246.68,0.005281704
Feb 29 2016,CLH,CEMEX LATAM HOLDING,10720,0.0019 ,519044560,48351,continua,SI,1244.17,-0.002013347
Mar 01 2016,CLH,CEMEX LATAM HOLDING,11040,0.0299 ,5118991640,466124,continua,SI,1255.54,0.009138623
Mar 02 2016,CLH,CEMEX LATAM HOLDING,11460,0.0380 ,5966768500,524968,continua,SI,1276.63,0.016797553
Mar 03 2016,CLH,CEMEX LATAM HOLDING,11600,0.0122 ,3671954380,311224,continua,SI,1295.43,0.014726272
Mar 04 2016,CLH,CEMEX LATAM HOLDING,11500,-0.0086,2203004820,187580,continua,SI,1294.86,-0.000440008
Mar 07 2016,CLH,CEMEX LATAM HOLDING,11700,0.0174 ,1853637840,160988,continua,SI,1307.17,0.009506819
Mar 08 2016,CLH,CEMEX LATAM HOLDING,11800,0.0085 ,6303326720,537016,continua,SI,1294.63,-0.009593243
Mar 09 2016,CLH,CEMEX LATAM HOLDING,11900,0.0085 ,4393935280,369652,continua,SI,1296.27,0.001266771
Mar 10 2016,CLH,CEMEX LATAM HOLDING,11900,0.0000 ,2586817920,218847,continua,SI,1299.45,0.002453193
Mar 11 2016,CLH,CEMEX LATAM HOLDING,12080,0.0151 ,2495024760,207662,continua,SI,1302.71,0.002508754
Mar 14 2016,CLH,CEMEX LATAM HOLDING,12000,-0.0066,734416360,61577,continua,SI,1298.48,-0.003247077
Mar 15 2016,CLH,CEMEX LATAM HOLDING,12000,0.0000 ,1263631280,105306,continua,SI,1285.34,-0.010119524
Mar 16 2016,CLH,CEMEX LATAM HOLDING,11960,-0.0033,819730420,69225,continua,SI,1284.4,-0.000731324
Mar 17 2016,CLH,CEMEX LATAM HOLDING,11900,-0.0050,2092012780,175537,continua,SI,1295.89,0.008945811
Mar 18 2016,CLH,CEMEX LATAM HOLDING,12000,0.0084 ,8529109560,707668,continua,SI,1309.81,0.010741652
Mar 22 2016,CLH,CEMEX LATAM HOLDING,12280,0.0233 ,3248837800,269945,continua,SI,1316.92,0.005428268
Mar 23 2016,CLH,CEMEX LATAM HOLDING,12600,0.0261 ,2093489680,168375,continua,SI,1321.05,0.003136105
Mar 28 2016,CLH,CEMEX LATAM HOLDING,12480,-0.0095,400176860,31953,continua,SI,1305.41,-0.011839067
Mar 29 2016,CLH,CEMEX LATAM HOLDING,12300,-0.0144,1557044520,126403,continua,SI,1299.65,-0.004412407
Mar 30 2016,CLH,CEMEX LATAM HOLDING,12580,0.0228 ,2115092120,170033,continua,SI,1319.77,0.015481091
Mar 31 2016,CLH,CEMEX LATAM HOLDING,12900,0.0254 ,3541411500,278519,continua,SI,1336.27,0.012502178
Apr 01 2016,CLH,CEMEX LATAM HOLDING,13000,0.0078 ,6488207720,499977,continua,SI,1333.63,-0.001975649
Apr 04 2016,CLH,CEMEX LATAM HOLDING,13080,0.0062 ,213242040,16304,continua,SI,1337.58,0.002961841
Apr 05 2016,CLH,CEMEX LATAM HOLDING,12680,-0.0306,2920137800,227636,continua,SI,1313.19,-0.018234423
Apr 06 2016,CLH,CEMEX LATAM HOLDING,12860,0.0142 ,635035200,49659,continua,SI,1321.5,0.006328102
Apr 07 2016,CLH,CEMEX LATAM HOLDING,12700,-0.0124,1197447880,93652,continua,SI,1316.11,-0.004078698
Apr 08 2016,CLH,CEMEX LATAM HOLDING,12800,0.0079 ,4389563160,341877,continua,SI,1326.57,0.007947664
Apr 11 2016,CLH,CEMEX LATAM HOLDING,13100,0.0234 ,1820352640,140271,continua,SI,1336.37,0.007387473
Apr 12 2016,CLH,CEMEX LATAM HOLDING,13340,0.0183 ,2742160720,207863,continua,SI,1364.13,0.02077269
Apr 13 2016,CLH,CEMEX LATAM HOLDING,13000,-0.0255,9465369100,712249,continua,SI,1370.62,0.004757611
Apr 14 2016,CLH,CEMEX LATAM HOLDING,13000,0.0000 ,4831322180,370114,continua,SI,1364.97,-0.004122222
Apr 15 2016,CLH,CEMEX LATAM HOLDING,13040,0.0031 ,7431846900,570665,continua,SI,1355.2,-0.007157666
Apr 18 2016,CLH,CEMEX LATAM HOLDING,13300,0.0199 ,2055336160,155651,continua,SI,1354.76,-0.000324675
Apr 19 2016,CLH,CEMEX LATAM HOLDING,13200,-0.0075,4598811500,342076,continua,SI,1362.84,0.005964156
Apr 20 2016,CLH,CEMEX LATAM HOLDING,13360,0.0121 ,2016122320,151130,continua,SI,1376.61,0.010103901
Apr 21 2016,CLH,CEMEX LATAM HOLDING,13200,-0.0120,1532466960,115798,continua,SI,1375.95,-0.000479439
Apr 22 2016,CLH,CEMEX LATAM HOLDING,13000,-0.0152,3064321100,233984,continua,SI,1374.41,-0.001119227
Apr 25 2016,CLH,CEMEX LATAM HOLDING,12900,-0.0077,1065618640,81739,continua,SI,1359.25,-0.011030187
Apr 26 2016,CLH,CEMEX LATAM HOLDING,12800,-0.0078,3747289360,290866,continua,SI,1365.2,0.004377414
Apr 27 2016,CLH,CEMEX LATAM HOLDING,12720,-0.0063,8787307180,689133,continua,SI,1361.98,-0.002358629
Apr 28 2016,CLH,CEMEX LATAM HOLDING,12900,0.0142 ,7808980400,606009,continua,SI,1362.02,2.9369E-05
Apr 29 2016,CLH,CEMEX LATAM HOLDING,13060,0.0124 ,3558237340,272562,continua,SI,1342.42,-0.014390391
May 02 2016,CLH,CEMEX LATAM HOLDING,13040,-0.0015,734367920,56496,continua,SI,1342.5,5.95939E-05
May 03 2016,CLH,CEMEX LATAM HOLDING,12600,-0.0337,8489012300,664384,continua,SI,1320.18,-0.016625698
May 04 2016,CLH,CEMEX LATAM HOLDING,12560,-0.0032,2722729000,216427,continua,SI,1311.83,-0.006324895
May 05 2016,CLH,CEMEX LATAM HOLDING,12980,0.0334 ,1861913560,146440,continua,SI,1291.14,-0.015771861
May 06 2016,CLH,CEMEX LATAM HOLDING,12800,-0.0139,3712412640,287593,continua,SI,1293.03,0.001463823
May 10 2016,CLH,CEMEX LATAM HOLDING,13500,0.0547 ,3341963760,253350,continua,SI,1328.6,0.027509029
May 11 2016,CLH,CEMEX LATAM HOLDING,13460,-0.0030,5431128720,403358,continua,SI,1336.35,0.005833208
May 12 2016,CLH,CEMEX LATAM HOLDING,13600,0.0104 ,9341973280,686055,continua,SI,1351.39,0.011254537
May 13 2016,CLH,CEMEX LATAM HOLDING,13240,-0.0265,1056081940,78698,continua,SI,1350.36,-0.000762178
May 16 2016,CLH,CEMEX LATAM HOLDING,13200,-0.0030,869841260,65383,continua,SI,1357.57,0.005339317
May 17 2016,CLH,CEMEX LATAM HOLDING,13200,0.0000 ,387068500,29302,continua,SI,1343.88,-0.010084195
May 18 2016,CLH,CEMEX LATAM HOLDING,13000,-0.0152,2251421960,172520,continua,SI,1327.74,-0.012010001
May 19 2016,CLH,CEMEX LATAM HOLDING,13000,0.0000 ,2015771460,155552,continua,SI,1323.21,-0.003411813
May 20 2016,CLH,CEMEX LATAM HOLDING,12960,-0.0031,1261368720,97307,continua,SI,1322.44,-0.000581918
May 23 2016,CLH,CEMEX LATAM HOLDING,12900,-0.0046,1163887900,89536,continua,SI,1325.36,0.00220804
May 24 2016,CLH,CEMEX LATAM HOLDING,13120,0.0171 ,2629366060,202227,continua,SI,1319.44,-0.004466711
May 25 2016,CLH,CEMEX LATAM HOLDING,13300,0.0137 ,2503222420,188724,continua,SI,1306.65,-0.009693506
May 26 2016,CLH,CEMEX LATAM HOLDING,13280,-0.0015,1459873900,110710,continua,SI,1302.13,-0.003459228
May 27 2016,CLH,CEMEX LATAM HOLDING,13200,-0.0060,1999845160,151554,continua,SI,1302.36,0.000176634
May 31 2016,CLH,CEMEX LATAM HOLDING,13480,0.0212 ,2490161740,187212,continua,SI,1292.51,-0.007563193
Jun 01 2016,CLH,CEMEX LATAM HOLDING,13180,-0.0223,1737754140,131705,continua,SI,1301.18,0.006707878
Jun 02 2016,CLH,CEMEX LATAM HOLDING,12980,-0.0152,2750261800,211149,continua,SI,1303,0.00139873
Jun 03 2016,CLH,CEMEX LATAM HOLDING,12860,-0.0092,1036745060,80513,continua,SI,1307.83,0.00370683
Jun 07 2016,CLH,CEMEX LATAM HOLDING,12700,-0.0124,5892709320,462051,continua,SI,1315.86,0.006139942
Jun 08 2016,CLH,CEMEX LATAM HOLDING,12740,0.0031 ,14311178400,1130761,continua,SI,1333.46,0.013375283
Jun 09 2016,CLH,CEMEX LATAM HOLDING,12840,0.0078 ,7210224120,562520,continua,SI,1333.48,1.49986E-05
Jun 10 2016,CLH,CEMEX LATAM HOLDING,12900,0.0047 ,17573394540,1371652,continua,SI,1320.48,-0.009748928
Jun 13 2016,CLH,CEMEX LATAM HOLDING,12800,-0.0078,387134700,30243,continua,SI,1315.23,-0.003975827
