fecha,Indice,ValorHoy,ValorAyer,Variacion
Jun 01 2016,COLCAP,1301,1293,0.67
Jun 02 2016,COLCAP,1303,1301,0.14
Jun 03 2016,COLCAP,1308,1303,0.37
Jun 07 2016,COLCAP,1316,1308,0.61
Jun 08 2016,COLCAP,1333,1316,1.34
Jun 09 2016,COLCAP,1333,1333,0
Jun 10 2016,COLCAP,1320,1333,-0.97
Jun 13 2016,COLCAP,1315,1320,-0.4
Jun 14 2016,COLCAP,1303,1315,-0.9
Jun 15 2016,COLCAP,1304,1303,0.04
Jun 16 2016,COLCAP,1308,1304,0.3
Jun 17 2016,COLCAP,1308,1308,0.05
Jun 20 2016,COLCAP,1316,1308,0.6
Jun 21 2016,COLCAP,1324,1316,0.57
Jun 22 2016,COLCAP,1326,1324,0.2
Jun 23 2016,COLCAP,1330,1326,0.25
Jun 24 2016,COLCAP,1318,1330,-0.89
Jun 27 2016,COLCAP,1302,1318,-1.16
Jun 28 2016,COLCAP,1303,1302,0.07
Jun 29 2016,COLCAP,1312,1303,0.63
Jun 30 2016,COLCAP,1313,1312,0.13
Jul 01 2016,COLCAP,1313,1313,-0.02
Jul 05 2016,COLCAP,1303,1313,-0.73
Jul 06 2016,COLCAP,1310,1303,0.5
Jul 07 2016,COLCAP,1302,1310,-0.63
Jul 08 2016,COLCAP,1298,1302,-0.32
Jul 11 2016,COLCAP,1307,1298,0.7
Jul 12 2016,COLCAP,1320,1307,1.04
Jul 13 2016,COLCAP,1326,1320,0.42
Jul 14 2016,COLCAP,1333,1326,0.53
Jul 15 2016,COLCAP,1340,1333,0.51
Jul 18 2016,COLCAP,1339,1340,-0.04
Jul 19 2016,COLCAP,1338,1339,-0.09
Jul 21 2016,COLCAP,1329,1338,-0.69
Jul 22 2016,COLCAP,1333,1329,0.32
Jul 25 2016,COLCAP,1323,1333,-0.71
Jul 26 2016,COLCAP,1316,1323,-0.58
Jul 27 2016,COLCAP,1322,1316,0.45
Jul 28 2016,COLCAP,1317,1322,-0.32
Jul 29 2016,COLCAP,1308,1317,-0.7
Aug 01 2016,COLCAP,1306,1308,-0.17
Aug 02 2016,COLCAP,1303,1306,-0.2
Aug 03 2016,COLCAP,1305,1303,0.1
Aug 04 2016,COLCAP,1308,1305,0.23
Aug 05 2016,COLCAP,1309,1308,0.14
Aug 08 2016,COLCAP,1314,1309,0.37
Aug 09 2016,COLCAP,1324,1314,0.73
Aug 10 2016,COLCAP,1322,1324,-0.12
Aug 11 2016,COLCAP,1328,1322,0.42
Aug 12 2016,COLCAP,1324,1328,-0.32
Aug 16 2016,COLCAP,1343,1324,1.44
Aug 17 2016,COLCAP,1349,1343,0.46
Aug 18 2016,COLCAP,1348,1349,-0.07
Aug 19 2016,COLCAP,1350,1348,0.13
Aug 22 2016,COLCAP,1349,1350,-0.04
Aug 23 2016,COLCAP,1359,1349,0.7
Aug 24 2016,COLCAP,1370,1359,0.81
Aug 25 2016,COLCAP,1371,1370,0.09
Aug 26 2016,COLCAP,1373,1371,0.19
Aug 29 2016,COLCAP,1372,1373,-0.1
Aug 30 2016,COLCAP,1374,1372,0.14
Aug 31 2016,COLCAP,1380,1374,0.46
Sep 01 2016,COLCAP,1379,1380,-0.06
Sep 02 2016,COLCAP,1394,1379,1.09
Sep 05 2016,COLCAP,1398,1394,0.25
Sep 06 2016,COLCAP,1403,1398,0.35
Sep 07 2016,COLCAP,1418,1403,1.05
Sep 08 2016,COLCAP,1416,1418,-0.1
Sep 09 2016,COLCAP,1398,1416,-1.29
Sep 12 2016,COLCAP,1387,1398,-0.8
Sep 13 2016,COLCAP,1367,1387,-1.41
Sep 14 2016,COLCAP,1373,1367,0.44
Sep 15 2016,COLCAP,1373,1373,0.02
Sep 16 2016,COLCAP,1355,1373,-1.37
Sep 19 2016,COLCAP,1355,1355,0
Sep 20 2016,COLCAP,1341,1355,-0.98
Sep 21 2016,COLCAP,1341,1341,-0.01
Sep 22 2016,COLCAP,1358,1341,1.25
Sep 23 2016,COLCAP,1352,1358,-0.47
Sep 26 2016,COLCAP,1347,1352,-0.36
Sep 27 2016,COLCAP,1334,1347,-0.95
Sep 28 2016,COLCAP,1355,1334,1.58
Sep 29 2016,COLCAP,1345,1355,-0.74
Sep 30 2016,COLCAP,1339,1345,-0.46
Oct 03 2016,COLCAP,1331,1339,-0.62
Oct 04 2016,COLCAP,1335,1331,0.34
Oct 05 2016,COLCAP,1341,1335,0.47
Oct 06 2016,COLCAP,1343,1341,0.16
Oct 07 2016,COLCAP,1348,1343,0.35
Oct 10 2016,COLCAP,1350,1348,0.16
Oct 11 2016,COLCAP,1358,1350,0.57
Oct 12 2016,COLCAP,1355,1358,-0.25
Oct 13 2016,COLCAP,1354,1355,-0.02
Oct 14 2016,COLCAP,1346,1354,-0.62
Oct 18 2016,COLCAP,1356,1346,0.72
Oct 19 2016,COLCAP,1364,1356,0.61
Oct 20 2016,COLCAP,1361,1364,-0.21
Oct 21 2016,COLCAP,1363,1361,0.13
Oct 24 2016,COLCAP,1359,1363,-0.28
Oct 25 2016,COLCAP,1357,1359,-0.16
Oct 26 2016,COLCAP,1357,1357,0.04
Oct 27 2016,COLCAP,1360,1357,0.16
Oct 28 2016,COLCAP,1361,1360,0.09
Oct 31 2016,COLCAP,1366,1361,0.34
Nov 01 2016,COLCAP,1371,1366,0.38
Nov 02 2016,COLCAP,1368,1371,-0.17
Nov 03 2016,COLCAP,1356,1368,-0.91
Nov 04 2016,COLCAP,1346,1356,-0.76
Nov 08 2016,COLCAP,1355,1346,0.69
Nov 09 2016,COLCAP,1355,1355,-0.02
Nov 10 2016,COLCAP,1320,1355,-2.6
Nov 11 2016,COLCAP,1299,1320,-1.55
Nov 15 2016,COLCAP,1297,1299,-0.15
Nov 16 2016,COLCAP,1300,1297,0.23
Nov 17 2016,COLCAP,1306,1300,0.44
Nov 18 2016,COLCAP,1307,1306,0.12
Nov 21 2016,COLCAP,1313,1307,0.42
Nov 22 2016,COLCAP,1307,1313,-0.43
Nov 23 2016,COLCAP,1309,1307,0.13
Nov 24 2016,COLCAP,1309,1309,0.01
Nov 25 2016,COLCAP,1296,1309,-1.01
Nov 28 2016,COLCAP,1290,1296,-0.44
Nov 29 2016,COLCAP,1271,1290,-1.46
Nov 30 2016,COLCAP,1286,1271,1.18
Dec 01 2016,COLCAP,1297,1286,0.88
Dec 02 2016,COLCAP,1307,1297,0.71
Dec 05 2016,COLCAP,1316,1307,0.69
