fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1720,0.0000 ,15480000,9000,continua,SI,1153.71,0.004755062
Jan 04 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1720,0.0000 ,44381160,25803,continua,SI,1129.71,-0.020802455
Jan 05 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1750,0.0174 ,119415700,69050,continua,SI,1142.4,0.011232971
Jan 06 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1735,-0.0086,445213810,255907,continua,SI,1129.32,-0.01144958
Jan 07 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1745,0.0058 ,134661870,77676,continua,SI,1105.73,-0.020888676
Jan 08 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1740,-0.0029,448497830,258204,continua,SI,1098.32,-0.006701455
Jan 12 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1730,-0.0057,11142930,6441,continua,SI,1079.28,-0.017335567
Jan 13 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1725,-0.0029,443846280,256411,continua,SI,1096.68,0.016121859
Jan 14 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1740,0.0087 ,633291830,366846,continua,SI,1128.65,0.029151621
Jan 15 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1740,0.0000 ,369390870,213149,continua,SI,1103.26,-0.022495902
Jan 18 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1725,-0.0086,200525475,115958,continua,SI,1078.69,-0.022270362
Jan 19 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1685,-0.0232,514131580,303551,continua,SI,1100.3,0.020033559
Jan 20 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1675,-0.0059,4878682915,2904023,continua,SI,1109.33,0.008206853
Jan 21 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1715,0.0239 ,1129843565,669348,continua,SI,1124.79,0.01393634
Jan 22 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1725,0.0058 ,3614496925,2106602,continua,SI,1151.62,0.023853342
Jan 25 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1745,0.0116 ,411377260,236916,continua,SI,1139.32,-0.010680606
Jan 26 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1780,0.0201 ,309574225,176336,continua,SI,1146.36,0.006179124
Jan 27 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1765,-0.0084,122798985,69267,continua,SI,1153.46,0.006193517
Jan 28 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0113 ,66976525,37559,continua,SI,1165.38,0.010334125
Jan 29 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1660,-0.0700,991177620,590054,continua,SI,1175.09,0.008332046
Feb 01 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1750,0.0542 ,343864655,197615,continua,SI,1180.72,0.004791122
Feb 02 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1750,0.0000 ,25195000,14440,continua,SI,1165.77,-0.012661766
Feb 03 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1735,-0.0086,25567655,14732,continua,SI,1180.66,0.012772674
Feb 04 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1765,0.0173 ,234363230,132932,continua,SI,1188.73,0.00683516
Feb 05 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0113 ,293314820,165403,continua,SI,1195.11,0.005367072
Feb 08 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1780,-0.0028,81340665,45630,continua,SI,1192.98,-0.001782263
Feb 09 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1770,-0.0056,1039813135,584243,continua,SI,1196.9,0.003285889
Feb 10 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0085 ,363004350,203920,continua,SI,1200.42,0.002940931
Feb 11 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0000 ,1076907820,603365,continua,SI,1198.51,-0.00159111
Feb 12 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0000 ,981403995,549807,continua,SI,1209.03,0.008777565
Feb 15 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1780,-0.0028,42408600,23836,continua,SI,1209.88,0.000703043
Feb 16 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1780,0.0000 ,705937630,395423,continua,SI,1199.98,-0.00818263
Feb 17 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0028 ,407482165,228311,continua,SI,1233.34,0.027800463
Feb 18 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1775,-0.0056,407480925,228377,continua,SI,1235.89,0.002067556
Feb 19 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0056 ,849805300,476220,continua,SI,1234.93,-0.000776768
Feb 22 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0000 ,687416695,385671,continua,SI,1236.37,0.001166058
Feb 23 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1790,0.0028 ,581064860,325610,continua,SI,1229.65,-0.005435266
Feb 24 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1775,-0.0084,2222699545,1244829,continua,SI,1228.18,-0.001195462
Feb 25 2016,EEB,EMPRESA DE ENERGIA DE BOGOTA S.A. E.S.P.,1785,0.0056 ,1754242115,983003,continua,SI,1240.13,0.009729844
