fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Jun 24 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54300,0.0000 ,0,0,continua,NO,1317.71,-0.008927631
Jun 27 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54000,-0.0055,2160000000,40000,continua,NO,1302.39,-0.01162623
Jun 28 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54280,0.0052 ,122096000,2260,continua,NO,1303.28,0.000683359
Jun 29 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54280,0.0000 ,0,0,continua,NO,1311.52,0.006322509
Jun 30 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54300,0.0004 ,2752633520,50759,continua,NO,1313.18,0.001265707
Jul 01 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54300,0.0000 ,32440000,600,continua,NO,1312.98,-0.000152302
Jul 05 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54300,0.0000 ,0,0,continua,NO,1303.46,-0.007250682
Jul 06 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54300,0.0000 ,0,0,continua,NO,1310,0.005017415
Jul 07 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54300,0.0000 ,54300000,1000,continua,NO,1301.76,-0.006290076
Jul 08 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54000,-0.0055,23004000,426,continua,NO,1297.64,-0.003164946
Jul 11 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54000,0.0000 ,0,0,continua,NO,1306.76,0.007028143
Jul 12 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54000,0.0000 ,0,0,continua,NO,1320.3,0.010361505
Jul 13 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54000,0.0000 ,99900000,1850,continua,NO,1325.79,0.004158146
Jul 14 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54000,0.0000 ,0,0,continua,NO,1332.85,0.005325127
Jul 15 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54000,0.0000 ,38502000,713,continua,NO,1339.6,0.005064336
Jul 18 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54280,0.0052 ,19540800,360,continua,NO,1339,-0.000447895
Jul 19 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54280,0.0000 ,0,0,continua,NO,1337.8,-0.000896191
Jul 21 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54280,0.0000 ,10856000,200,continua,NO,1328.61,-0.006869487
Jul 22 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54280,0.0000 ,1954080,36,continua,NO,1332.85,0.003191305
Jul 25 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,54280,0.0000 ,0,0,continua,NO,1323.41,-0.007082567
Jul 26 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53500,-0.0144,21667500,405,continua,NO,1315.69,-0.005833415
Jul 27 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53100,-0.0075,204054000,3843,continua,NO,1321.65,0.004529942
Jul 28 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52800,-0.0056,800961600,15102,continua,NO,1317.44,-0.003185412
Jul 29 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52520,-0.0053,499056000,9470,continua,NO,1308.22,-0.006998421
Aug 01 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52520,0.0000 ,0,0,continua,NO,1306.02,-0.001681674
Aug 02 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52200,-0.0061,261040000,5000,continua,NO,1303.35,-0.002044379
Aug 03 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52000,-0.0038,156000000,3000,continua,NO,1304.62,0.000974412
Aug 04 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52800,0.0154 ,316800000,6000,continua,NO,1307.59,0.002276525
Aug 05 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,51000,-0.0341,210326720,4064,continua,NO,1309.48,0.001445407
Aug 08 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,51000,0.0000 ,0,0,continua,NO,1314.34,0.003711397
Aug 09 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,51000,0.0000 ,0,0,continua,NO,1323.93,0.007296438
Aug 10 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,51000,0.0000 ,153400000,3000,continua,NO,1322.33,-0.001208523
Aug 11 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,51000,0.0000 ,0,0,continua,NO,1327.89,0.004204699
Aug 12 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,51000,0.0000 ,0,0,continua,NO,1323.66,-0.003185505
Aug 16 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,51000,0.0000 ,1378000,26,continua,NO,1342.69,0.014376804
Aug 17 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53100,0.0412 ,19434600,366,continua,NO,1348.89,0.004617596
Aug 18 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53100,0.0000 ,0,0,continua,NO,1348.01,-0.000652388
Aug 19 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52800,-0.0056,100320000,1900,continua,NO,1349.79,0.001320465
Aug 22 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52520,-0.0053,109765000,2090,continua,NO,1349.21,-0.000429696
Aug 23 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52500,-0.0004,208425000,3970,continua,NO,1358.62,0.006974452
Aug 24 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52500,0.0000 ,0,0,continua,NO,1369.65,0.008118532
Aug 25 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52800,0.0057 ,264000000,5000,continua,NO,1370.82,0.000854233
Aug 26 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52800,0.0000 ,170544000,3230,continua,NO,1373.42,0.001896675
Aug 29 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52800,0.0000 ,0,0,continua,NO,1371.99,-0.001041196
Aug 30 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0019 ,156671500,2965,continua,NO,1373.85,0.001355695
Aug 31 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,0,0,continua,NO,1380.18,0.00460749
Sep 01 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,0,0,continua,NO,1379.41,-0.000557898
Sep 02 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53000,0.0019 ,53000000,1000,continua,NO,1394.38,0.010852466
Sep 05 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53000,0.0000 ,0,0,continua,NO,1397.92,0.002538763
Sep 06 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53000,0.0000 ,0,0,continua,NO,1402.83,0.003512361
Sep 07 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53000,0.0000 ,212000000,4000,continua,NO,1417.57,0.010507332
Sep 08 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53100,0.0019 ,369607000,6970,continua,NO,1416.16,-0.00099466
Sep 09 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53100,0.0000 ,77738400,1464,continua,NO,1397.9,-0.012894023
Sep 12 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53100,0.0000 ,0,0,continua,NO,1386.73,-0.007990557
Sep 13 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,49000,-0.0772,93365000,1885,continua,NO,1367.18,-0.014097914
Sep 14 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,49300,0.0061 ,92952900,1885,continua,NO,1373.22,0.004417853
Sep 15 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0730 ,30153000,570,continua,NO,1373.44,0.000160207
Sep 16 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,0,0,continua,NO,1354.63,-0.013695538
Sep 19 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,19477800,368,continua,NO,1354.67,2.95284E-05
Sep 20 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,0,0,continua,NO,1341.36,-0.009825271
Sep 21 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,902700,17,continua,NO,1341.29,-5.21858E-05
Sep 22 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,0,0,continua,NO,1358.03,0.012480522
Sep 23 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,0,0,continua,NO,1351.6,-0.0047348
Sep 26 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52900,0.0000 ,0,0,continua,NO,1346.67,-0.003647529
Sep 27 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53000,0.0019 ,107590000,2030,continua,NO,1333.85,-0.009519778
Sep 28 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53000,0.0000 ,0,0,continua,NO,1354.98,0.015841361
Sep 29 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53000,0.0000 ,0,0,continua,NO,1345,-0.007365422
Sep 30 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,53000,0.0000 ,0,0,continua,NO,1338.83,-0.004587361
Oct 03 2016,GRUBOLIVAR,GRUPO BOLIVAR S.A.,52980,-0.0004,102251400,1930,continua,NO,1330.57,-0.006169566
