fecha,nemo,razonsocial,preciocierre,variacionprecio,monto,cantidad,segmentacion,pertenececolcap,preciocolcap,variacioncolcap
Dec 30 2015,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35700,0.0096 ,1036579040,29036,continua,SI,1153.71,0.004755062
Jan 04 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,34120,-0.0443,1728358600,49742,continua,SI,1129.71,-0.020802455
Jan 05 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,34280,0.0047 ,3299996600,96230,continua,SI,1142.4,0.011232971
Jan 06 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,34100,-0.0053,3904157640,114402,continua,SI,1129.32,-0.01144958
Jan 07 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,32520,-0.0463,2918682680,87918,continua,SI,1105.73,-0.020888676
Jan 08 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,32140,-0.0117,3007237620,92802,continua,SI,1098.32,-0.006701455
Jan 12 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,30900,-0.0386,10065535940,327213,continua,SI,1079.28,-0.017335567
Jan 13 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,31440,0.0175 ,5765280360,182027,continua,SI,1096.68,0.016121859
Jan 14 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,32500,0.0337 ,16026340960,499309,continua,SI,1128.65,0.029151621
Jan 15 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,32000,-0.0154,19603884840,613039,continua,SI,1103.26,-0.022495902
Jan 18 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,31020,-0.0306,4265094340,136186,continua,SI,1078.69,-0.022270362
Jan 19 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,31660,0.0206 ,5307981440,167027,continua,SI,1100.3,0.020033559
Jan 20 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,32500,0.0265 ,7480131340,236366,continua,SI,1109.33,0.008206853
Jan 21 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,33460,0.0295 ,14120013940,430319,continua,SI,1124.79,0.01393634
Jan 22 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,34600,0.0341 ,8772973560,254579,continua,SI,1151.62,0.023853342
Jan 25 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,34320,-0.0081,6844142980,199217,continua,SI,1139.32,-0.010680606
Jan 26 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,34540,0.0064 ,3928187980,114281,continua,SI,1146.36,0.006179124
Jan 27 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,34580,0.0012 ,2404072460,69562,continua,SI,1153.46,0.006193517
Jan 28 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35000,0.0121 ,6737651560,192675,continua,SI,1165.38,0.010334125
Jan 29 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35800,0.0229 ,7828339000,219961,continua,SI,1175.09,0.008332046
Feb 01 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35640,-0.0045,7298023100,207173,continua,SI,1180.72,0.004791122
Feb 02 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,34740,-0.0253,5410390480,154658,continua,SI,1165.77,-0.012661766
Feb 03 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35300,0.0161 ,7165308800,204942,continua,SI,1180.66,0.012772674
Feb 04 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35620,0.0091 ,7493094240,209922,continua,SI,1188.73,0.00683516
Feb 05 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35620,0.0000 ,2666687000,74900,continua,SI,1195.11,0.005367072
Feb 08 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35620,0.0000 ,1093732380,30760,continua,SI,1192.98,-0.001782263
Feb 09 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35700,0.0022 ,6588094240,184713,continua,SI,1196.9,0.003285889
Feb 10 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35740,0.0011 ,5159946800,143743,continua,SI,1200.42,0.002940931
Feb 11 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,35680,-0.0017,59812347140,1684806,continua,SI,1198.51,-0.00159111
Feb 12 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,36300,0.0174 ,57029915440,1587195,continua,SI,1209.03,0.008777565
Feb 15 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,36380,0.0022 ,1026362840,28212,continua,SI,1209.88,0.000703043
Feb 16 2016,GRUPOSURA,GRUPO INVERSIONES SURAMERICANA,36000,-0.0104,9082752060,247971,continua,SI,1199.98,-0.00818263
