fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,15867,CELSIA,61615965,3865,0.39
Jun 02 2016,15867,CELSIA,61615965,3865,0.39
Jun 03 2016,15867,CELSIA,61615965,3865,0.39
Jun 04 2016,93298,CELSIA,359308880,3850,-0.39
Jun 05 2016,6830,CELSIA,26152700,3820,-0.78
Jun 09 2016,64812,CELSIA,251143315,3875,1.44
Jun 10 2016,116615,CELSIA,453096480,3840,-0.9
Jun 11 2016,92515,CELSIA,362250915,3920,-0.13
Jun 12 2016,549143,CELSIA,2122237915,3925,2.21
Jun 15 2016,131242,CELSIA,516115615,3990,1.79
Jun 16 2016,515552,CELSIA,2013284860,3925,-1.63
Jun 17 2016,60686,CELSIA,235065850,3905,0
Jun 18 2016,64256,CELSIA,250294900,3900,-0.13
Jun 21 2016,330008,CELSIA,1290069940,3930,0.77
Jun 22 2016,195855,CELSIA,770380425,3935,0.13
Jun 23 2016,160182,CELSIA,629300445,3935,0
Jun 24 2016,223022,CELSIA,874125350,3935,0
Jun 25 2016,121286,CELSIA,471981495,3840,-2.41
Jun 28 2016,63636,CELSIA,245529505,3840,0
Jun 29 2016,91290,CELSIA,351018950,3840,0
Jun 30 2016,21122,CELSIA,81314420,3850,-0.26
Jul 01 2016,12096,CELSIA,46587810,3860,0.26
Jul 01 2016,91290,CELSIA,351018950,3840,0
Jul 05 2016,21721,CELSIA,82993850,3820,-1.04
Jul 06 2016,53324,CELSIA,204827135,3855,0.92
Jul 07 2016,140520,CELSIA,538706090,3850,-0.13
Jul 09 2016,1265,CELSIA,4844950,3850,0
Jul 11 2016,68756,CELSIA,268789485,3915,1.42
Jul 12 2016,111840,CELSIA,435923115,3910,-0.13
Jul 13 2016,149119,CELSIA,573591185,3860,0.26
Jul 15 2016,52470,CELSIA,205103500,3880,-0.77
Jul 17 2016,60939,CELSIA,237630955,3915,0.9
Jul 18 2016,19585,CELSIA,75989800,3880,-0.13
Jul 20 2016,65646,CELSIA,256349800,3885,-0.77
Jul 21 2016,28683,CELSIA,111312160,3880,0
Jul 24 2016,77402,CELSIA,300714060,3885,0.13
Jul 25 2016,287467,CELSIA,1103072980,3820,0
Jul 26 2016,238262,CELSIA,909152070,3820,0
Jul 28 2016,152511,CELSIA,585396435,3895,0.26
Jul 29 2016,61315,CELSIA,234952540,3820,-1.93
Jul 31 2016,265543,CELSIA,1002848650,3765,-1.44
Aug 01 2016,410307,CELSIA,1556577370,3800,0.93
Aug 02 2016,256207,CELSIA,972569785,3810,0.26
Aug 03 2016,161605,CELSIA,616603670,3815,0.13
Aug 04 2016,296518,CELSIA,1126933350,3800,-0.39
Aug 07 2016,126431,CELSIA,479564100,3800,0
Aug 08 2016,142554,CELSIA,541602920,3800,0
Aug 09 2016,90176,CELSIA,342889295,3800,0
Aug 10 2016,816135,CELSIA,3104296715,3830,0.79
Aug 11 2016,51296,CELSIA,197345120,3850,0.52
Aug 12 2016,67462,CELSIA,260879720,3880,0.78
Aug 16 2016,1198310,CELSIA,4686203805,3915,0.9
Aug 17 2016,1222834,CELSIA,4814409620,3950,0.89
Aug 18 2016,2752749,CELSIA,11010180125,4040,2.28
Aug 19 2016,584821,CELSIA,2346468810,4000,-0.99
Aug 21 2016,215375,CELSIA,860094500,4000,0
