fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 04 2016,1000,COLTEJER,1600000,1600,0
Jun 12 2016,407,COLTEJER,651200,1600,0
Jun 16 2016,3000,COLTEJER,5010000,1600,0
Jun 18 2016,145,COLTEJER,232000,1600,0
Jun 22 2016,3985,COLTEJER,6376000,1600,0
Jun 23 2016,3324,COLTEJER,5318400,1600,0
Jun 24 2016,507,COLTEJER,811200,1600,0
Jul 01 2016,214,COLTEJER,342400,1600,0
Jul 06 2016,1418,COLTEJER,2261710,1600,0
Jul 07 2016,3,COLTEJER,3645,1600,0
Jul 11 2016,11,COLTEJER,13915,1600,0
Jul 15 2016,3287,COLTEJER,4536060,1600,0
Jul 17 2016,20880,COLTEJER,33408000,1600,0
Jul 20 2016,21113,COLTEJER,33780800,1600,0
Jul 24 2016,223,COLTEJER,356800,1600,0
Jul 26 2016,398,COLTEJER,477600,1600,0
Jul 28 2016,8501,COLTEJER,13601600,1600,0
Aug 01 2016,32,COLTEJER,35360,1600,0
Aug 02 2016,2,COLTEJER,2210,1600,0
Aug 04 2016,551,COLTEJER,831605,1600,0
Aug 10 2016,104,COLTEJER,125320,1600,0
Aug 17 2016,167,COLTEJER,201235,1600,0
Aug 18 2016,1145,COLTEJER,1448425,1600,0
Aug 23 2016,30,COLTEJER,37500,1600,0
Aug 25 2016,1,COLTEJER,1300,1600,0
Aug 31 2016,118,COLTEJER,153400,1600,0
Sep 04 2016,495,COLTEJER,694100,1600,0
Sep 05 2016,42,COLTEJER,56700,1600,0
Sep 06 2016,466,COLTEJER,633760,1600,0
Sep 10 2016,226,COLTEJER,293800,1600,0
Sep 11 2016,7034,COLTEJER,9495900,1600,0
Sep 12 2016,3010,COLTEJER,4063500,1600,0
Sep 14 2016,3756,COLTEJER,5108160,1600,0
Sep 17 2016,137,COLTEJER,178100,1600,0
Sep 18 2016,2244,COLTEJER,2928780,1600,0
Sep 19 2016,316,COLTEJER,426600,1600,0
Sep 20 2016,997,COLTEJER,1495500,1600,0
Sep 24 2016,733,COLTEJER,989550,1600,0
Sep 26 2016,87,COLTEJER,117450,1600,0
Sep 26 2016,345,COLTEJER,465750,1600,0
Sep 27 2016,100,COLTEJER,135000,1600,0
Oct 04 2016,3176,COLTEJER,4302780,1600,0
Oct 05 2016,5247,COLTEJER,7109685,1600,0
Oct 09 2016,533,COLTEJER,692900,1600,0
Oct 20 2016,337,COLTEJER,461690,1600,0
Oct 23 2016,20733,COLTEJER,33172800,1600,0
Oct 24 2016,14,COLTEJER,19180,1600,0
Oct 28 2016,4652,COLTEJER,6978000,1600,0
Nov 01 2016,5247,COLTEJER,7109685,1600,0
Nov 04 2016,3176,COLTEJER,4302780,1600,0
Nov 07 2016,5247,COLTEJER,7109685,1600,0
Nov 09 2016,533,COLTEJER,692900,1600,0
Nov 11 2016,101,COLTEJER,156550,1600,0
Nov 16 2016,27,COLTEJER,41850,1600,0
Nov 17 2016,3238,COLTEJER,4710660,1600,0
Nov 21 2016,407,COLTEJER,543345,1600,0
Nov 25 2016,830,COLTEJER,1162000,1600,0
Nov 28 2016,330,COLTEJER,462000,1600,0
Nov 29 2016,18144,COLTEJER,29561500,1650,3.13
Dec 02 2016,108849,COLTEJER,217689960,2000,21.21
