fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,1126453,EXITO,17176572980,15200,0
Jun 02 2016,1126453,EXITO,17176572980,15200,0
Jun 03 2016,1126453,EXITO,17176572980,15200,0
Jun 04 2016,1425018,EXITO,21484035360,15040,-1.05
Jun 05 2016,427032,EXITO,6375980620,15000,-0.27
Jun 09 2016,768725,EXITO,11536434820,15060,0.4
Jun 10 2016,479769,EXITO,7321632800,15280,1.46
Jun 11 2016,1179803,EXITO,17838036600,15100,-1.31
Jun 12 2016,1070000,EXITO,16432084920,15300,0.13
Jun 15 2016,351885,EXITO,5276249280,14860,-1.59
Jun 16 2016,446652,EXITO,6537541500,14480,-2.56
Jun 17 2016,256976,EXITO,3690278500,14460,1.26
Jun 18 2016,607404,EXITO,8942358660,14800,2.35
Jun 21 2016,2820686,EXITO,42651496500,15060,1.76
Jun 22 2016,1546381,EXITO,22953590640,14800,-1.73
Jun 23 2016,783938,EXITO,11559052080,14700,-0.68
Jun 24 2016,518435,EXITO,7651454980,14780,0.54
Jun 25 2016,787241,EXITO,11341012220,14480,-2.03
Jun 28 2016,115938,EXITO,1661107500,14240,-1.66
Jun 29 2016,464488,EXITO,6663525160,14360,0.84
Jun 30 2016,575374,EXITO,8192027400,14200,-1.39
Jul 01 2016,1167887,EXITO,16518432780,14300,0.7
Jul 01 2016,464488,EXITO,6663525160,14360,0.84
Jul 05 2016,331492,EXITO,4649850380,14000,-2.1
Jul 06 2016,1435806,EXITO,19849787980,13820,-1.29
Jul 07 2016,1478124,EXITO,20224449880,13860,0.29
Jul 09 2016,659491,EXITO,9050430900,13800,-0.43
Jul 11 2016,1536276,EXITO,21489401920,14000,0.29
Jul 12 2016,2266773,EXITO,31917506820,14080,0.57
Jul 13 2016,866464,EXITO,12027261340,13960,1.16
Jul 15 2016,1252252,EXITO,17896568760,14360,1.99
Jul 17 2016,919473,EXITO,13275453320,14480,0.84
Jul 18 2016,9636994,EXITO,1.38812E+11,14500,0.28
Jul 20 2016,1314289,EXITO,19094234200,14460,-0.14
Jul 21 2016,2458033,EXITO,35642697800,14500,0
Jul 24 2016,230977,EXITO,3359714900,14560,0.41
Jul 25 2016,675423,EXITO,9684914360,14340,1.7
