fecha,Cantidad,Nemotecnico,Volumen,UltimoPrecio,Variacion
Jun 01 2016,261692,GRUPOARGOS,4620129900,17820,3.13
Jun 02 2016,261692,GRUPOARGOS,4620129900,17820,3.13
Jun 03 2016,261692,GRUPOARGOS,4620129900,17820,3.13
Jun 04 2016,145313,GRUPOARGOS,2620537940,17920,0.56
Jun 05 2016,96627,GRUPOARGOS,1714677000,17780,-0.78
Jun 09 2016,135282,GRUPOARGOS,2434189740,18100,1.8
Jun 10 2016,297423,GRUPOARGOS,5498236140,18700,3.31
Jun 11 2016,142974,GRUPOARGOS,2640618220,18340,-1.4
Jun 12 2016,206351,GRUPOARGOS,3851192760,18600,-0.53
Jun 15 2016,37151,GRUPOARGOS,680318980,18280,-0.33
Jun 16 2016,144965,GRUPOARGOS,2639058900,18160,-0.66
Jun 17 2016,56089,GRUPOARGOS,1012873120,18100,0.22
Jun 18 2016,239271,GRUPOARGOS,4302152980,17900,-1.1
Jun 21 2016,151309,GRUPOARGOS,2755007280,18200,1.68
Jun 22 2016,311556,GRUPOARGOS,5752892720,18680,2.64
Jun 23 2016,489399,GRUPOARGOS,9213723360,18780,0.54
Jun 24 2016,171970,GRUPOARGOS,3233037920,18660,-0.64
Jun 25 2016,522443,GRUPOARGOS,9612917540,18640,-0.11
Jun 28 2016,56905,GRUPOARGOS,1049660340,18380,-1.39
Jun 29 2016,127919,GRUPOARGOS,2352398380,18240,-0.76
Jun 30 2016,204714,GRUPOARGOS,3784675280,18500,0.54
Jul 01 2016,13881,GRUPOARGOS,257455140,18500,0
Jul 01 2016,127919,GRUPOARGOS,2352398380,18240,-0.76
Jul 05 2016,59471,GRUPOARGOS,1103969820,18500,0
Jul 06 2016,116696,GRUPOARGOS,2170546760,18600,0.54
Jul 07 2016,190260,GRUPOARGOS,3548844020,18600,0
Jul 09 2016,85290,GRUPOARGOS,1588930220,18580,-0.11
Jul 11 2016,313527,GRUPOARGOS,5890162580,18800,0.32
Jul 12 2016,376684,GRUPOARGOS,7095449960,18860,0.32
Jul 13 2016,82272,GRUPOARGOS,1538248360,18740,0.86
Jul 15 2016,388442,GRUPOARGOS,7383525160,19080,1.17
Jul 17 2016,344977,GRUPOARGOS,6657169720,19500,2.2
Jul 18 2016,451522,GRUPOARGOS,8795669200,19500,0.1
Jul 20 2016,251516,GRUPOARGOS,4891006920,19480,-0.1
Jul 21 2016,111937,GRUPOARGOS,2142467620,19040,-2.36
Jul 24 2016,131027,GRUPOARGOS,2508730620,19140,0.53
Jul 25 2016,122826,GRUPOARGOS,2340329140,19080,0.95
Jul 26 2016,81344,GRUPOARGOS,1546019740,19020,-0.31
Jul 28 2016,75462,GRUPOARGOS,1428902940,18900,-1.25
Jul 29 2016,43646,GRUPOARGOS,823822800,18900,0
Jul 31 2016,595296,GRUPOARGOS,11050698840,18500,-2.73
Aug 01 2016,204425,GRUPOARGOS,3796703120,18620,0.65
Aug 02 2016,95824,GRUPOARGOS,1790838340,18680,0.32
Aug 03 2016,131310,GRUPOARGOS,2436735220,18500,-0.96
Aug 04 2016,95400,GRUPOARGOS,1782129400,18700,1.08
Aug 07 2016,73211,GRUPOARGOS,1360767040,18600,-0.53
Aug 08 2016,160305,GRUPOARGOS,2990830580,18800,1.08
Aug 09 2016,296858,GRUPOARGOS,5611771060,18900,0.53
Aug 10 2016,200045,GRUPOARGOS,3767736300,18900,0
Aug 11 2016,272280,GRUPOARGOS,5160733080,19000,0.53
Aug 12 2016,137697,GRUPOARGOS,2599396560,18820,-0.95
Aug 16 2016,265374,GRUPOARGOS,5090887500,19240,2.23
Aug 17 2016,179181,GRUPOARGOS,3469867220,19340,0.52
Aug 18 2016,123222,GRUPOARGOS,2391014140,19500,0.83
Aug 19 2016,45908,GRUPOARGOS,892286280,19460,-0.21
Aug 21 2016,92194,GRUPOARGOS,1776267280,19220,-1.23
Aug 23 2016,124966,GRUPOARGOS,2414289780,19380,0.83
Aug 24 2016,373586,GRUPOARGOS,7320250820,19600,1.14
Aug 25 2016,267228,GRUPOARGOS,5261178640,19700,0.51
Aug 28 2016,111971,GRUPOARGOS,2201076440,19640,-0.3
Aug 29 2016,254128,GRUPOARGOS,4977584540,19500,0.41
Aug 30 2016,250830,GRUPOARGOS,4883179900,19420,-1.12
Aug 31 2016,433227,GRUPOARGOS,8535156440,19720,1.13
Sep 01 2016,86745,GRUPOARGOS,1712503760,19800,0.41
Sep 02 2016,224506,GRUPOARGOS,4355639980,19500,2.09
Sep 03 2016,185547,GRUPOARGOS,3534575580,19080,-0.42
Sep 04 2016,207285,GRUPOARGOS,3950778280,19100,0.1
Sep 05 2016,287731,GRUPOARGOS,5544093460,19160,-0.21
Sep 06 2016,126710,GRUPOARGOS,2459701060,19360,-0.72
Sep 07 2016,295447,GRUPOARGOS,5608279860,19140,0.53
Sep 10 2016,265804,GRUPOARGOS,5291664600,20000,1.01
Sep 11 2016,159740,GRUPOARGOS,3086198720,19520,0.83
Sep 12 2016,222882,GRUPOARGOS,4264510420,19060,-2.36
Sep 13 2016,210033,GRUPOARGOS,3944947660,18620,-2.72
Sep 14 2016,382749,GRUPOARGOS,7278699040,19040,-0.1
Sep 17 2016,199556,GRUPOARGOS,4016738420,20200,1
Sep 18 2016,203712,GRUPOARGOS,4125219060,20360,0.79
Sep 19 2016,503484,GRUPOARGOS,10285866180,20480,0.59
Sep 20 2016,271915,GRUPOARGOS,5562301900,20460,-0.1
Sep 21 2016,186655,GRUPOARGOS,3727742680,19860,-1.1
Sep 24 2016,61994,GRUPOARGOS,1208494400,19480,-1.91
Sep 25 2016,363391,GRUPOARGOS,7149050320,19880,2.05
Sep 26 2016,174651,GRUPOARGOS,3463259700,19680,-1.01
Sep 27 2016,798315,GRUPOARGOS,15376213620,19200,-2.44
Sep 30 2016,91622,GRUPOARGOS,1852305880,20080,-1.86
Oct 03 2016,155789,GRUPOARGOS,2860004900,18280,-0.87
Oct 04 2016,271287,GRUPOARGOS,5032100700,18620,1.86
Oct 05 2016,321975,GRUPOARGOS,6051142300,18800,0.97
Oct 06 2016,133976,GRUPOARGOS,2537838920,18980,0.96
Oct 09 2016,87117,GRUPOARGOS,1661256820,19180,1.05
Oct 10 2016,110307,GRUPOARGOS,2128735180,19400,1.15
Oct 11 2016,425398,GRUPOARGOS,8209631380,19300,-0.52
Oct 12 2016,172066,GRUPOARGOS,3310508960,19140,-0.83
Oct 14 2016,118760,GRUPOARGOS,2252516940,19000,1.82
Oct 17 2016,82760,GRUPOARGOS,1547609180,18660,-2.51
Oct 18 2016,170482,GRUPOARGOS,3253400200,19080,0.42
Oct 20 2016,35173,GRUPOARGOS,667266580,19000,0.74
Oct 22 2016,180297,GRUPOARGOS,3429654960,18860,-1.15
Oct 23 2016,90889,GRUPOARGOS,1709813080,18800,-1.05
Oct 24 2016,107969,GRUPOARGOS,2028986340,18780,-0.11
Oct 25 2016,138138,GRUPOARGOS,2604014140,18980,1.06
Oct 26 2016,95514,GRUPOARGOS,1791363560,18780,0
Oct 28 2016,82424,GRUPOARGOS,1574969040,19180,1.05
Oct 29 2016,346170,GRUPOARGOS,6718910060,19500,1.67
Nov 01 2016,321975,GRUPOARGOS,6051142300,18800,0.97
Nov 02 2016,132502,GRUPOARGOS,2448274380,18440,-0.97
Nov 03 2016,155789,GRUPOARGOS,2860004900,18280,-0.87
Nov 04 2016,271287,GRUPOARGOS,5032100700,18620,1.86
